"OTUID"	"AD1"	"AD4"	"AD5"	"AD6"	"AD7"	"AD8"	"AP2"	"AP3"	"AP4"	"AP5"	"AP6"	"AP7"	"CON1"	"CON3"	"CON4"	"CON5"	"CON6"	"CON8"	"Taxon"	"Confidence"
"012fd906263ae98fa1e0aeae235e9510"	0	0	0	0	0	0	33	25	0	0	0	7	20	0	17	0	0	0	"d__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridia_UCG-014; f__Clostridia_UCG-014; g__Clostridia_UCG-014"	0.999999663
"01526cee3fdf7ad501533f8e79cee802"	0	0	0	103	44	0	0	83	33	34	50	82	133	31	0	41	0	67	"d__Bacteria; p__Firmicutes; c__Clostridia; o__Lachnospirales; f__Lachnospiraceae; g__Lachnospiraceae_NK4A136_group"	0.927121754
"017213032a7a4e78be651d3e02fd3513"	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	"d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Muribaculaceae; g__Muribaculaceae; s__uncultured_bacterium"	0.98385404
"017b82a4722188c130fadc4ddf15be0f"	0	0	0	197	95	240	44	63	76	0	0	0	0	0	0	0	0	0	"d__Bacteria; p__Firmicutes; c__Bacilli"	1
"01ccc9f9ab02df58812600468f9de4c3"	53	19	7	0	0	0	0	0	0	0	0	7	0	0	6	0	0	0	"d__Bacteria; p__Firmicutes; c__Clostridia; o__Oscillospirales; f__Ruminococcaceae"	0.809904499
"01d2339e33c53dfb3e90191f8706855e"	0	0	0	0	0	0	7	5	0	0	0	0	7	0	0	0	0	0	"d__Bacteria; p__Firmicutes; c__Clostridia; o__Lachnospirales; f__Lachnospiraceae"	0.998586955
"0221ac31aa16e6e6b7d213958446adeb"	0	0	0	0	0	0	23	23	10	0	0	0	0	0	0	6	0	3	"d__Bacteria; p__Patescibacteria; c__Saccharimonadia; o__Saccharimonadales; f__Saccharimonadaceae; g__Candidatus_Saccharimonas; s__uncultured_bacterium"	0.805197087
"02626b339b82d1085401667d702c9ffc"	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	"d__Bacteria; p__Campilobacterota; c__Campylobacteria; o__Campylobacterales; f__Helicobacteraceae; g__Helicobacter"	0.986118865
"029a724311054af606fb9072f47cbbb9"	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	"d__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridia_vadinBB60_group; f__Clostridia_vadinBB60_group; g__Clostridia_vadinBB60_group; s__uncultured_bacterium"	0.80503182
"02b6a4e76404aa80af20252ab6d8edf5"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0	0	"d__Bacteria; p__Firmicutes; c__Clostridia; o__Lachnospirales; f__Lachnospiraceae"	0.99989878
"02ec4fe076ee71a55f438dc91ac645ba"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	"d__Bacteria; p__Firmicutes; c__Clostridia; o__Oscillospirales; f__Ruminococcaceae; g__uncultured; s__uncultured_bacterium"	0.833609687
"03827d6322ebbc35fd780b2d59d01775"	0	101	0	23	40	0	0	0	0	0	0	0	0	0	0	0	0	0	"d__Bacteria; p__Firmicutes; c__Clostridia; o__Lachnospirales; f__Lachnospiraceae"	0.999888662
"03c9767edaac5ecee0a0bb25c0fbda6d"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	"d__Bacteria; p__Firmicutes; c__Clostridia; o__Oscillospirales; f__Oscillospiraceae; g__uncultured"	0.938500305
"04be702b895fe5ed0568344daf564276"	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"d__Bacteria; p__Firmicutes; c__Bacilli; o__Staphylococcales; f__Staphylococcaceae; g__Staphylococcus"	0.973424735
"0524fe2272760ca36fba73e82ad77e74"	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"d__Bacteria; p__Firmicutes; c__Clostridia; o__Lachnospirales; f__Lachnospiraceae; g__A2; s__uncultured_bacterium"	0.910803371
"05d2e6f2c8c334be6e9cc652426165da"	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	"d__Bacteria; p__Firmicutes; c__Clostridia; o__Oscillospirales; f__Ruminococcaceae; g__Incertae_Sedis"	0.872076043
"0615eff74d0f2f3c25ad85862daab20b"	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	"d__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Lactobacillaceae; g__Lactobacillus"	0.919133638
"062ce343b799626f07c788c476cb9186"	0	0	0	22	0	0	0	0	0	0	0	0	0	0	16	0	0	28	"d__Bacteria; p__Firmicutes; c__Clostridia; o__Lachnospirales; f__Lachnospiraceae"	0.999828573
"064791d92071ba6a21ef57488796dacb"	0	0	0	0	0	0	0	0	0	34	0	0	0	0	0	0	0	0	"d__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridia_UCG-014; f__Clostridia_UCG-014; g__Clostridia_UCG-014"	0.999999242
"064ad1ad889da847966bdb0600059b99"	0	0	0	0	0	0	147	338	0	0	0	0	0	0	0	0	0	0	"d__Bacteria; p__Firmicutes; c__Clostridia; o__Oscillospirales; f__Ruminococcaceae; g__Incertae_Sedis; s__uncultured_organism"	0.949073954
"076457e2c7128179ea6755249b641f23"	20	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"d__Bacteria; p__Firmicutes; c__Clostridia; o__Lachnospirales; f__Lachnospiraceae"	0.999979893
"0782fdaa348dd6fa9b80eae2b6333388"	314	445	0	0	45	0	40	0	56	0	15	104	27	143	64	24	11	31	"d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Rikenellaceae; g__Alistipes; s__uncultured_bacterium"	0.907868021
"07d6098878b38771be900a15269acf09"	0	0	0	0	0	0	0	0	18	12	0	22	10	16	21	0	9	0	"d__Bacteria; p__Cyanobacteria; c__Vampirivibrionia; o__Gastranaerophilales; f__Gastranaerophilales; g__Gastranaerophilales"	0.999989452
"07efe1dcf1b2ba7f941f4c2632ae6957"	0	0	0	0	0	0	0	0	0	0	0	0	37	0	0	0	0	0	"d__Bacteria; p__Firmicutes; c__Clostridia; o__Oscillospirales; f__Oscillospiraceae; g__Colidextribacter"	0.885338602
"07fe146a1e0df90b9381a567078cd960"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0	0	"d__Bacteria; p__Firmicutes; c__Clostridia; o__Lachnospirales; f__Lachnospiraceae"	0.99979076
"08ba5933cb112eadc3c71de7cef9d029"	0	0	0	0	9	0	0	0	0	0	0	63	0	0	0	0	0	0	"d__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridia_UCG-014; f__Clostridia_UCG-014; g__Clostridia_UCG-014; s__unidentified"	0.925483812
"08ed17794e8af08e5f0fb28b4e415a5a"	0	0	0	20	0	0	0	0	0	0	0	99	176	0	0	19	0	0	"d__Bacteria; p__Firmicutes; c__Clostridia; o__Lachnospirales; f__Lachnospiraceae; g__Roseburia"	0.824651732
