Sample	16S_rRNA_seq	d-10BW(g)	d0BW(g)	d8BW(g)	d11BW(g)	d0skin_severity_Erythema_(__)_d1	d0skin_severity_Xerosis_(___)_d1	d0skin_severity_Excoriation_(___)_d1	d0skin_severity_total_d1	d6skin_severity_Erythema_(__)_d7	d6skin_severity_Xerosis_(___)_d7	d6skin_severity_Excoriation_(___)_d7	d6skin_severity_total_d7	d10skin_severity_Erythema_(__)_d11	d10skin_severity_Xerosis_(___)_d11	d10skin_severity_Excoriation_(___)_d11	d10skin_severity_total_d11	skin_epidermis_(_)	skin_dermis_(_)	skin_TSLP_density	Mast_cell_(Number)	scratch_d0_time_5_min	scratch_d0_time_10_min	scratch_d0_time_15_min	scratch_d0_time_20_min	scratch_d0_time_25_min	scratch_d0_time_30_min	scratch_d0_time_(sec)/30-min	scratch_d0_bouts5_min	scratch_d0_bouts10_min	scratch_d0_bouts15_min	scratch_d0_bouts20_min	scratch_d0_bouts25_min	scratch_d0_bouts30_min	scratch_d0_bouts/30-min	scratch_d10_time5_min	scratch_d10_time10_min	scratch_d10_time15_min	scratch_d10_time20_min	scratch_d10_time25_min	scratch_d10_time30_min	scratch_d10_bouts5_min	scratch_d10_bouts10_min	scratch_d10_bouts15_min	scratch_d10_bouts20_min	scratch_d10_bouts25_min	scratch_d10_bouts30_min	scratch_time_(sec)/30-min	scratch_bouts/30-min	OFT_(Center_Distance)	OFT_(Round_distance)	OFT_(Total_Distance)	OFT_(In_Centeral_zone_)	OFT_(C/T*100)	TST_(Immobility_time_(s))	ileum_Villus_height_(_)	ileum_Ctypt_depth_(_)	ileum_IFZO-1	ileum_IFOccludin
AD1	o	23.8	25.8	21.8	21.1	0	3	0	3	1	3	0	4	1	3	0	4	147.68	447.94	246.48	66	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.98	21.47	22.71	1.21	0	0	2	4	4	1	0	55.37	11	0.39	65.15	65.54	2	0.6	80.53	209.98	40.89	314.91	331.33
AD4	o	25.5	27.5	22.3	19.8	1	2	1	4	1	2	2	5	1	3	0	4	167.42	630.02	236.6	92	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11.2	15.57	7.08	0	0	0	3	3	3	0	33.85	9	0.75	53.05	53.8	1	1.39	87.42	110.77	78.77	300.2	383.9
AD5	o	23.5	24.1	20.7	19.7	2	2	1	5	2	3	1	6	2	3	0	5	169.57	774.41	200.8	100	0	0	0	0.1	0	0	0.1	0	0	0	1	0	0	1	3.79	4.22	5.65	3.85	8.62	33.46	4	2	1	1	1	11	59.59	20	0.42	57.74	58.16	2	0.72	88.26	158.62	93.39	287.9	319.02
AD6	o	23.9	25.6	22.1	21.5	2	2	1	5	2	3	1	6	1	3	0	4	186.88	955.13	278.4	71	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10.49	2.52	1.24	60.35	0	0	3	1	1	5	74.6	10	2.42	52.19	54.61	4	4.43	79.16	147.67	42.32	311.81	413.49
AD7	o	23.4	24.3	22.5	21	1	1	0	2	1	2	0	3	1	3	0	4	232.4	531.58	256.5	92	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.49	9.65	15.17	3.09	0	0	2	2	3	2	0	0	32.4	9	0.99	45.88	46.87	1	2.11	82.85	160.42	57.13	271.38	351.92
AD8	o	22.5	23.6	21.1	19.5	2	3	0	5	1	3	0	4	1	3	0	4	224.28	597.07	242.29	90	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.32	6.51	29.16	17.49	0	0	3	3	4	8	62.48	18	1.52	50.44	51.96	3	2.93	86.49	172.23	55.49	306.93	337.76
AP2	_	24.2	24.8	23.2	24	1	1	0	2	1	1	0	2	1	0	0	1	9.13	94.18	91.19	44	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.8	0	0	0	0	0	2	0	0	0	2.8	2	9.75	78.38	88.13	7	11.06	32.15	631	192.33	3343.75	2631.47
AP3	_	23.9	23.3	23.2	23.8	1	1	1	3	2	2	1	5	1	1	0	2	18.72	105.63	103.13	32	0	0	0.2	0	0	0	0.2	0	0	1	0	0	0	1	0	0	0	0	1.01	0	0	0	0	0	1	0	1.01	1	10.32	67.82	78.14	6	13.21	35.75	596.19	264.95	3227.4	2470.23
AP4	_	25.3	26.1	22.5	23.5	1	1	0	2	1	1	0	2	0	0	0	0	17.36	128.84	94.59	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10.65	70.11	80.76	8	13.19	40.21	628.57	315.96	3461.98	2673.54
AP5	_	26.6	28.2	24.6	25.8	0	2	0	2	1	3	0	4	0	2	0	2	14.8	131.04	93	37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.01	0	0	1.03	0	0	1	0	0	1	0	2.04	2	8.95	81.96	90.91	10	9.84	36.82	544.02	305.65	3506.93	2713.52
AP6	_	23.8	25	21.7	22.8	0	1	0	1	0	2	0	2	0	1	0	1	15.81	127.42	101.92	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.8	0	0	0	0	0	2	0	0	3.8	2	7.83	74.97	82.8	9	9.46	31.01	563.03	319.22	3230.85	2758.94
AP7	_	24.1	25.9	24.4	25.3	1	2	0	3	0	1	0	1	0	1	0	1	19.33	108.35	87.27	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.05	0	0	0	0	0	1	0	2.05	1	9.62	71.93	81.55	5	11.8	38.12	611.76	316.66	3147.79	2352.81
CON1	o	23.5	27.1	27.6	28.4	0	0	0	0	0	0	0	0	0	0	0	0	17.45	230.59	48.29	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12.21	91.03	103.24	20	11.83	18.82	417.95	227.24	4605.78	3199.33
CON3	o	23.5	25	26.5	26.2	0	0	0	0	0	0	0	0	0	0	0	0	11.66	183.58	50.04	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.12	0	0	0	0	0	1	0	0	0	0.12	1	12.03	88.45	100.48	12	11.97	20.64	465.97	306.3	4318.58	3339.06
CON4	o	23.2	25.3	26.9	27	0	0	0	0	0	0	0	0	0	0	0	0	6.88	116.49	45.85	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.28	0	0	0	0	0	1	0	0	0.28	1	11.2	90.27	101.47	11	11.04	10.84	485.08	236.75	4559.93	3769.35
CON5	o	22.9	23.5	24.6	24.9	0	0	0	0	0	0	0	0	0	0	0	0	14.32	167.34	51.1	11	0	0	0	0	0.08	0	0.08	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14.21	93.52	107.73	12	13.19	22.93	641.58	263.98	4843.27	3102.73
CON6	o	25	26.8	26.9	27.1	0	0	0	0	0	0	0	0	0	0	0	0	13.42	151.35	56.22	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12.85	90.45	103.3	10	12.44	23.18	593.05	236.95	4749.97	3308.05
CON8	o	21.6	23.3	23.7	23.5	0	0	0	0	0	0	0	0	0	0	0	0	10.36	188.21	51.28	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15.07	90.46	105.53	12	14.28	16.83	608.2	268.07	4875.51	3503.79
