"feature"	"enrich_group"	"ef_lda"	"pvalue"	"padj"
"dTDP-L-rhamnose biosynthesis I"	"AD"	3.41263368188848	0.0249705417339791	0.0249705417339791
"sucrose degradation IV (sucrose phosphorylase)"	"AD"	3.17245818776671	0.0106322903473877	0.0106322903473877
"thiamin salvage II"	"AD"	3.11596099996625	0.00417128071784882	0.00417128071784882
"6-hydroxymethyl-dihydropterin diphosphate biosynthesis I"	"AD"	3.0797441296665	0.0106322903473877	0.0106322903473877
"6-hydroxymethyl-dihydropterin diphosphate biosynthesis III (Chlamydia)"	"AD"	3.03883263877288	0.0123782687313753	0.0123782687313753
"superpathway of glycerol degradation to 1,3-propanediol"	"AD"	2.93940088704107	0.0209525048603063	0.0209525048603063
"glycolysis II (from fructose 6-phosphate)"	"AD"	2.91174381367172	0.0497870683678639	0.0497870683678639
"superpathway of L-phenylalanine biosynthesis"	"AD"	2.49952462626113	0.0422672514549253	0.0422672514549253
"superpathway of L-tyrosine biosynthesis"	"AD"	2.49746594876642	0.0422672514549253	0.0422672514549253
"peptidoglycan biosynthesis II (staphylococci)"	"AD"	2.07079901029977	0.0338549815371597	0.0338549815371597
"anhydromuropeptides recycling"	"AP"	2.93611041787684	0.0417757773568273	0.0417757773568273
"L-1,2-propanediol degradation"	"AP"	2.9113937421219	0.0297591127478813	0.0297591127478813
"aerobic respiration I (cytochrome c)"	"AP"	2.8834705181168	0.0344439796613971	0.0344439796613971
"pyruvate fermentation to propanoate I"	"AP"	2.70449279826636	0.0453399266599237	0.0453399266599237
"L-arginine biosynthesis III (via N-acetyl-L-citrulline)"	"AP"	2.67353127660779	0.0354659823153142	0.0354659823153142
"L-histidine degradation I"	"AP"	2.49511558159163	0.0338449691584486	0.0338449691584486
"superpathway of Clostridium acetobutylicum acidogenic fermentation"	"AP"	2.43826116259579	0.022214333531887	0.022214333531887
"pyruvate fermentation to butanoate"	"AP"	2.33670587235445	0.022214333531887	0.022214333531887
"peptidoglycan biosynthesis V (&beta;-lactam resistance)"	"AP"	2.19698320632288	0.0126930405349128	0.0126930405349128
"CMP-legionaminate biosynthesis I"	"AP"	2.1690197288659	0.0077079957791514	0.0077079957791514
"heme biosynthesis I (aerobic)"	"AP"	2.10405350128251	0.0497870683678639	0.0497870683678639
"superpathway of heme biosynthesis from uroporphyrinogen-III"	"AP"	2.10316392585798	0.023278294522887	0.023278294522887
"glutaryl-CoA degradation"	"AP"	2.07914767042098	0.0313673321792064	0.0313673321792064
"superpathway of N-acetylglucosamine, N-acetylmannosamine and N-acetylneuraminate degradation"	"CON"	3.36266689267151	0.0175810146450998	0.0175810146450998
"L-lysine biosynthesis II"	"CON"	3.17968001629879	0.0403353785378346	0.0403353785378346
"L-lysine biosynthesis VI"	"CON"	3.08652857052528	0.0188590903637521	0.0188590903637521
"L-lysine biosynthesis III"	"CON"	3.08423039892431	0.0188590903637521	0.0188590903637521
"urea cycle"	"CON"	3.02968756724185	0.0292415761197202	0.0292415761197202
"superpathway of histidine, purine, and pyrimidine biosynthesis"	"CON"	2.94054365373261	0.0195325589779551	0.0195325589779551
"superpathway of pyrimidine deoxyribonucleotides de novo biosynthesis"	"CON"	2.87101485388236	0.00542697023241692	0.00542697023241692
"superpathway of L-methionine biosynthesis (transsulfuration)"	"CON"	2.87022103575281	0.0100283501577958	0.0100283501577958
"superpathway of S-adenosyl-L-methionine biosynthesis"	"CON"	2.84503207290985	0.0100283501577958	0.0100283501577958
"pyrimidine deoxyribonucleotides de novo biosynthesis III"	"CON"	2.77191894845433	0.0254124867891789	0.0254124867891789
"ppGpp biosynthesis"	"CON"	2.73701916281925	0.00841467748920116	0.00841467748920116
"TCA cycle VIII (helicobacter)"	"CON"	2.71865316461297	0.0068172160548381	0.0068172160548381
"TCA cycle VII (acetate-producers)"	"CON"	2.65055119159894	0.0115393966331255	0.0115393966331255
"L-methionine biosynthesis I"	"CON"	2.63689132587422	0.0115393966331255	0.0115393966331255
"superpathway of demethylmenaquinol-6 biosynthesis II"	"CON"	2.45424936337426	0.00724386871601908	0.00724386871601908
"ADP-L-glycero-&beta;-D-manno-heptose biosynthesis"	"CON"	2.4414702663316	0.0163895537902135	0.0163895537902135
"2-methylcitrate cycle II"	"CON"	2.37776458213391	0.00802531018258361	0.00802531018258361
"2-methylcitrate cycle I"	"CON"	2.37576026122534	0.00802531018258361	0.00802531018258361
