"rownames(pathway)"	"Kruskal_test"	"Dunn_AD-AP"	"Dunn_AD-CON"	"Dunn_AP-CON"	"AD_mean"	"AD_SD"	"AP_mean"	"AP_SD"	"CON_mean"	"CON_SD"	"AD1"	"AD4"	"AD5"	"AD6"	"AD7"	"AD8"	"AP2"	"AP3"	"AP4"	"AP5"	"AP6"	"AP7"	"CON1"	"CON3"	"CON4"	"CON5"	"CON6"	"CON8"
"N10-formyl-tetrahydrofolate biosynthesis"	0.932230256390905	0.154727590862631	0.314272469549192	1	9267.4601275404	4122.31299914212	8587.55807199869	2586.44412098641	7739.10903641275	2206.50986719299	12702.0607547541	13612.9200021541	12732.466968798	5762.65505393027	5542.34331977264	5252.31466583331	6395.48185581427	8629.50901902591	12852.7251704221	9868.17239406324	5655.90582591397	8123.55416675259	8801.04760163826	7128.94072457411	9085.188566833	6653.8255220955	4252.34955355862	10513.302249777
"superpathway of chorismate metabolism"	0.120314388400899	0.224117799936391	0.224117799936391	1	11.0105221636029	18.7442870289827	0	0	0	0	20.7441277556176	45.3190052259998	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"homolactic fermentation"	0.80543379654864	1	1	1	13299.3298130291	4885.5709702606	12610.8370147629	2737.09893620109	11540.4652832513	3533.54822237695	16126.3900046017	18144.7806158412	18598.431351074	9187.34168969171	7520.82195231178	10218.2132646543	10789.1000565758	11160.7287188542	17434.7006571469	12765.5541787409	13666.2571202774	9848.68135698217	11899.5925252031	10279.2065512481	12755.2490164498	9878.31127447839	6944.49343292261	17485.9388992059
"glycolysis III (from glucose)"	0.959890875328063	1	1	1	17038.6671405105	5203.66139261503	17847.0920725734	2680.89123026389	17630.9308112187	5230.29066851697	19144.2496953035	22466.0046457649	22899.7730674396	13457.500982287	10374.7437830303	13889.7306692375	16793.0096148134	17402.4310181742	21757.9561935683	18674.1732601319	18816.1143662385	13638.8679825143	13647.7062396319	22296.6319182005	15295.5089539594	14413.5306541283	14087.8569007953	26044.3502005968
"superpathway of arginine and polyamine biosynthesis"	0.240051790590006	1	0.197962116588441	0.479244551012931	1277.71986037071	830.289364059352	1834.74324470245	624.633901756769	1314.15596713108	443.36881837241	2593.99215689069	2029.53573612453	1002.57512521031	671.136995268788	713.943398907934	655.135749821997	1509.12143688208	1826.62272688477	2514.76435800746	2087.36239718458	780.589852525181	2289.99869673063	1523.78813116647	1296.72252771402	1284.50608745697	1315.5820266842	552.350545550297	1911.98648421452
"superpathway of L-arginine, putrescine, and 4-aminobutanoate degradation"	0.120314388400899	0.224117799936391	0.224117799936391	1	3.2331077975375	5.15712239024667	0	0	0	0	7.75719513037744	11.6414516548476	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"arginine, ornithine and proline interconversion"	0.107736141500103	1	1	1	1364.86561794973	1030.64651491259	712.990983444652	369.483513543687	450.333021440944	319.373245219243	2612.86008712582	2723.84630363273	1003.81881348761	414.575360804583	847.616652456396	586.476490191265	565.492126140252	701.205340878698	1275.08145817849	930.805049930448	173.855448001263	631.506477538766	339.657082758744	178.995526889929	929.624135283498	164.918206564035	326.177196661175	762.625980488285
"L-arginine biosynthesis I (via L-ornithine)"	0.796068393426591	0.432876166320316	0.0694227939262312	1	8019.35844493597	3850.69964102531	6548.7641581382	2184.7401296778	6405.98195949598	2406.00360367347	11660.8891899537	11413.9656257912	11518.9737204328	4774.4470935227	4387.90806358076	4359.96697633462	4739.6578838038	5412.75124670553	10730.1597176473	6938.54082827703	5320.98626735097	6150.48900504451	8543.05496754469	3812.29321029173	7364.77901047367	6651.5828068759	3169.33314608248	8894.84861570744
"L-arginine biosynthesis II (acetyl cycle)"	0.755253552953129	0.583097732409327	0.0694227939262312	0.991170146546383	7260.19388084453	3864.19615984489	5631.07091113174	2317.001846391	6156.26818869116	2616.96930899024	11058.7955972118	10942.8642522009	10312.8329188507	4147.8511788011	3797.90777774094	3300.91156026178	3942.77519726936	4478.11281351298	10061.6953326119	5986.13047265796	3946.13968756611	5371.57196317219	8641.90303634321	3210.25542175289	7419.65969213476	6338.28673832612	2725.14386222105	8602.3603813689
"chorismate biosynthesis I"	0.796068393426591	1	1	1	6272.11948597098	3524.61892931019	5151.43865600922	2312.35662012114	5041.18521531305	2175.41175400647	10209.7075516465	9878.57479996982	8167.47675618198	3234.03653915417	3454.09096265657	2688.83030621681	3508.90710189551	4749.29210771088	9166.19694953381	5926.73866546255	2477.32559265655	5080.17151879604	7566.58674547212	3176.7778975431	6652.79522227095	4451.20739787575	2026.46023578665	6373.28379292974
