sequence	16S_rRNA_Count	metadata_NSTI
012fd906263ae98fa1e0aeae235e9510	1	0.802076
01526cee3fdf7ad501533f8e79cee802	2	0.042956
017213032a7a4e78be651d3e02fd3513	4	0.321045
017b82a4722188c130fadc4ddf15be0f	1	0.005308
01ccc9f9ab02df58812600468f9de4c3	1	0.236357
01d2339e33c53dfb3e90191f8706855e	1	0.283966
0221ac31aa16e6e6b7d213958446adeb	1	1.835205
02626b339b82d1085401667d702c9ffc	1	0.528668
029a724311054af606fb9072f47cbbb9	1	0.275444
02b6a4e76404aa80af20252ab6d8edf5	1	0.248138
02ec4fe076ee71a55f438dc91ac645ba	1	0.32719
03827d6322ebbc35fd780b2d59d01775	2	0.070532
03c9767edaac5ecee0a0bb25c0fbda6d	1	0.140642
04be702b895fe5ed0568344daf564276	1	0.062581
0524fe2272760ca36fba73e82ad77e74	1	0.016181
05d2e6f2c8c334be6e9cc652426165da	2	0.314801
0615eff74d0f2f3c25ad85862daab20b	1	0.327138
062ce343b799626f07c788c476cb9186	2	0.068106
064791d92071ba6a21ef57488796dacb	1	0.815073
064ad1ad889da847966bdb0600059b99	2	0.236712
076457e2c7128179ea6755249b641f23	1	0.182767
0782fdaa348dd6fa9b80eae2b6333388	1	0.175797
07d6098878b38771be900a15269acf09	1	0.367404
07efe1dcf1b2ba7f941f4c2632ae6957	1	0.136728
07fe146a1e0df90b9381a567078cd960	1	0.185479
08ba5933cb112eadc3c71de7cef9d029	1	0.829076
08ed17794e8af08e5f0fb28b4e415a5a	1	0.116162
09782ed04138ce2dfa093f0f435b204b	1	0.227305
09dd561731c0af24b96cc0ba6e57ec9b	1	0.194764
0a25a8dcca0dcc62ce66d46bfddeda5a	1	0.182767
0a3f05ad4a67281b9b6560ac3076aa76	1	0.912835
0a9640c9475123ce8715a72ce95037ad	1	0.209866
0b7aa89f029b63c62ebdbbe793c0c65f	1	0.396423
0b89881c3eddfdba2a3e1f418496b200	1	0.577404
0c8683fd3867df9e82c58f1c26e6a136	4	0.357628
0d6662ad72a9d229df0cd39a5352cb6b	1	0.260408
0d7dd2a18a632a2029783912f515a73b	1	0.614139
0da03528d09c7777b72cdb2195beab99	3	0.162467
0da613e8d89cfcdeaa139caf8f2506f5	1	0.266989
0debac7bda0e8a1808ee18f1fa0fff95	1	0.145931
0eba0dfaf3894d0cb8ae783668b2816b	1	0.187336
0eebf22536faa70d10968eb4972b2736	1	0.030074
0f3d5ab93a1bdff74c4c3fbe0ad3206b	2	0.016576
0fdcb15125926008f79a128031b3448b	1	0.199346
1099950f329f9b0cc24b900fcc0a0d89	1	0.293744
10cffeae66880b9c81b6248f39f17562	1	0.118283
112adc0ffa68eed2345db733879b40e0	1	0.241493
114d2848dc929d1a26b8bfa252235155	1	0.145215
1183cea45066e2b1d63ee62f59a4d069	1	0.190309
1194d18ebb458c31461a27b976959000	1	0.40377
11ea8da3179e422f7c55632508ff7ef5	4	0.509183
