pathway	description	AD1	AD4	AD5	AD6	AD7	AD8	AP2	AP3	AP4	AP5	AP6	AP7	CON1	CON3	CON4	CON5	CON6	CON8
1CMET2-PWY	N10-formyl-tetrahydrofolate biosynthesis	12702.060754754117	13612.920002154056	12732.466968797991	5762.655053930267	5542.343319772642	5252.3146658333135	6395.481855814267	8629.509019025914	12852.72517042213	9868.172394063242	5655.905825913971	8123.554166752592	8801.047601638256	7128.940724574115	9085.188566833	6653.825522095495	4252.34955355862	10513.302249777042
ALL-CHORISMATE-PWY	superpathway of chorismate metabolism	20.744127755617647	45.319005225999824	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ANAEROFRUCAT-PWY	homolactic fermentation	16126.39000460166	18144.780615841213	18598.431351074032	9187.341689691708	7520.821952311779	10218.213264654323	10789.100056575831	11160.728718854174	17434.70065714686	12765.554178740907	13666.257120277416	9848.681356982166	11899.59252520312	10279.206551248071	12755.249016449798	9878.311274478388	6944.493432922614	17485.938899205947
ANAGLYCOLYSIS-PWY	glycolysis III (from glucose)	19144.249695303504	22466.004645764875	22899.773067439568	13457.500982286994	10374.743783030288	13889.73066923752	16793.009614813407	17402.431018174208	21757.95619356834	18674.173260131916	18816.11436623847	13638.867982514304	13647.706239631903	22296.63191820045	15295.508953959445	14413.53065412834	14087.856900795332	26044.35020059676
ARG+POLYAMINE-SYN	superpathway of arginine and polyamine biosynthesis	2593.992156890689	2029.535736124525	1002.5751252103122	671.1369952687884	713.9433989079339	655.1357498219973	1509.1214368820774	1826.6227268847656	2514.7643580074555	2087.362397184582	780.589852525181	2289.9986967306254	1523.7881311664655	1296.7225277140249	1284.5060874569724	1315.582026684204	552.3505455502968	1911.9864842145223
ARGDEG-PWY	superpathway of L-arginine, putrescine, and 4-aminobutanoate degradation	7.75719513037744	11.641451654847558	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ARGORNPROST-PWY	arginine, ornithine and proline interconversion	2612.860087125817	2723.846303632728	1003.818813487612	414.57536080458345	847.6166524563959	586.4764901912649	565.4921261402518	701.2053408786983	1275.0814581784873	930.8050499304478	173.85544800126254	631.5064775387663	339.6570827587435	178.99552688992938	929.6241352834976	164.91820656403513	326.17719666117523	762.6259804882849
ARGSYN-PWY	L-arginine biosynthesis I (via L-ornithine)	11660.889189953734	11413.965625791225	11518.973720432796	4774.447093522701	4387.908063580758	4359.966976334619	4739.657883803799	5412.751246705527	10730.159717647344	6938.540828277034	5320.986267350968	6150.489005044513	8543.054967544685	3812.2932102917257	7364.779010473674	6651.582806875897	3169.3331460824834	8894.84861570744
ARGSYNBSUB-PWY	L-arginine biosynthesis II (acetyl cycle)	11058.795597211783	10942.864252200938	10312.832918850658	4147.851178801105	3797.9077777409434	3300.911560261784	3942.775197269365	4478.112813512976	10061.69533261186	5986.130472657959	3946.139687566109	5371.571963172186	8641.903036343207	3210.2554217528923	7419.659692134764	6338.286738326125	2725.143862221046	8602.360381368895
ARO-PWY	chorismate biosynthesis I	10209.707551646508	9878.57479996982	8167.476756181983	3234.0365391541663	3454.090962656566	2688.830306216812	3508.907101895506	4749.292107710883	9166.196949533813	5926.738665462548	2477.3255926565494	5080.171518796036	7566.586745472117	3176.777897543104	6652.7952222709455	4451.207397875748	2026.4602357866536	6373.283792929738
ASPASN-PWY	superpathway of L-aspartate and L-asparagine biosynthesis	11258.766364855304	12279.889002931128	13791.209375500368	5511.654888752688	5686.935977839656	5466.737702207523	7117.037808233496	8393.891672233294	13526.509156980965	10370.025859036154	6460.380787301974	8034.030536629586	9251.301292788086	8246.199453476498	9444.090099175628	7496.588852076436	4953.952130206375	12320.678513285726
AST-PWY	L-arginine degradation II (AST pathway)	3.33	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BIOTIN-BIOSYNTHESIS-PWY	biotin biosynthesis I	23.042806128339507	68.68436769611019	2365.209051493911	0.0	232.7965200245451	68.43037671900461	199.7536236611175	316.56369131424503	248.75171076625875	772.0747298953733	82.30192398769292	235.19892055328995	246.2200392229834	431.3268237250824	326.91467933086284	329.29165382397355	244.47947818047996	137.1889049131633
BRANCHED-CHAIN-AA-SYN-PWY	superpathway of branched amino acid biosynthesis	12636.859559354049	12349.393500897098	9799.849486211107	4264.548092800247	4558.806845200926	3997.5037284959735	4488.918061426738	6303.4399165656105	11535.339837295256	7242.974491692298	4301.290617865094	7152.978050486903	10126.93614217204	5679.643911714895	7895.395019948124	6123.008443413462	3289.5781319318403	10573.703457666445
CALVIN-PWY	Calvin-Benson-Bassham cycle	16385.338526433083	17779.978998590075	18960.319439625277	8188.619988349035	7073.165561357518	6829.282734792805	8790.537156554068	10171.4787206421	17084.31352075798	11817.726657200175	7083.708630515046	9118.32846246071	11386.056058056962	7643.950903636516	12389.525021692789	9103.021699794148	5821.558214691154	14353.552176809097
CENTFERM-PWY	pyruvate fermentation to butanoate	142.03561097837311	129.5883431160067	220.73751886857505	313.0385954694779	411.6267983451024	354.5694156291606	547.0459677364245	985.2542731161805	1279.286746455172	657.3336494091375	430.75499836268216	499.0023529968407	266.7104910132519	474.3838450965986	275.3632258764956	87.81815034148657	187.34471046652	670.5534324248638
COA-PWY	coenzyme A biosynthesis I	15462.817276059564	18378.593722835823	18484.151201827408	11033.46412396891	8531.876760861558	12058.547377447898	14018.804969506602	14482.657602947638	17909.402919838536	15250.96780275126	16651.186553372445	11224.090518527866	12106.556557320177	20315.055994107017	12624.04649118011	12462.82693722154	12356.389494729085	23470.181617090777
COBALSYN-PWY	adenosylcobalamin salvage from cobinamide I	6931.430175792667	5777.605477136592	5215.217763570852	1570.788409263227	1603.9405248046264	1122.0272197632978	1531.964977269767	2124.710889740501	5017.608639582789	2456.3948047570066	1213.152076263042	2562.411636834516	4500.312046841906	772.0900080977661	3131.0424657119606	1836.4857461011572	673.1751826983318	2837.355366165056
CODH-PWY	reductive acetyl coenzyme A pathway	263.5462207721588	335.74161565916216	77.82832627714076	81.69046376115071	62.751022195345634	57.852286658727735	113.50399483385202	34.95394511761853	38.95269569241564	76.77964579799514	6.998436819099137	94.56049232651256	187.403018264632	41.95299572325033	264.880112104682	140.13727188541742	29.96109507844097	244.6192230905253
COLANSYN-PWY	colanic acid building blocks biosynthesis	3360.959417726297	4549.468760303666	7656.072665156029	2650.3475958913764	2986.233013357857	2596.95184954818	3758.3099048250656	4408.318609448842	6814.636547292346	5852.550528486189	3751.760549332234	3873.1540824754575	3924.95149030977	4296.112659881104	5176.954431744665	4106.121099004823	2816.7782839597257	6557.982878717838
COMPLETE-ARO-PWY	superpathway of aromatic amino acid biosynthesis	10582.110853686896	10210.898903591164	8596.779525533218	3403.403843701068	3592.32635256444	2891.653389627633	3661.346005070084	4961.381607301473	9549.83200461742	6196.485139340914	2732.3273538095486	5287.916385140698	7890.985388644518	3547.7733394222278	6939.4246326538105	4696.583670320956	2219.335333756584	6996.553879735113
DAPLYSINESYN-PWY	L-lysine biosynthesis I	12798.733423725564	12475.36346409185	13791.314411557758	6200.83231882739	5267.568095818097	7835.97903948108	7624.247423080549	7721.719926488109	11763.68844293927	9444.58934892421	11244.746660214952	6496.187407230116	9308.130251631805	6168.04721166085	8193.38099318779	8187.776988050947	5135.740444321458	8704.842308274698
DENOVOPURINE2-PWY	superpathway of purine nucleotides de novo biosynthesis II	13834.551929288862	15784.291157382037	18332.12571250336	10063.818429527397	8197.259208793625	12037.252426320472	10812.576016131212	12283.50405065864	16023.930115970848	12439.258558644517	17650.153012388826	11117.165657840374	12318.361140718724	22965.239381847907	9535.332629723904	12495.94840389287	10737.470105006863	26440.643549249904
DTDPRHAMSYN-PWY	dTDP-L-rhamnose biosynthesis I	14876.761849439332	16447.871566535017	23608.092721898767	11098.158501400874	8211.340759033736	11839.768042843549	14679.384673591669	12738.868339123	18356.325667318917	17159.31645711179	13942.729190903094	9496.175729596798	6959.717887870999	4862.274554139742	12333.299445141149	10010.640996119446	9133.198011457023	8496.826781702273
ECASYN-PWY	enterobacterial common antigen biosynthesis	5.760436268999902	17.2889106331215	0.0	0.0	0.0	20.793539423599206	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENTBACSYN-PWY	enterobactin biosynthesis	17.691316885631345	26.576053765547837	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
FAO-PWY	fatty acid &beta;-oxidation I	80.62829907246132	67.66141631932588	125.3219766725665	167.6955352765567	234.1819880731933	362.6526372029752	323.2188206754017	592.0631981166738	749.280131010798	397.0340513412368	305.8844200361286	254.98977639680024	144.07605958593274	387.3157977241989	162.1570553933844	38.87608413992277	217.4415954289198	409.065223613446
FASYN-ELONG-PWY	fatty acid elongation -- saturated	14106.982563492036	15558.200212401747	18530.033625532385	9602.0339768658	8263.663081848117	11859.684273809771	10594.568978503024	12266.504488028197	16102.71644291379	12710.64828060334	17797.02554416412	11404.36848541852	12189.5619510929	23610.11094105048	9625.422873147889	12133.490055950037	10113.6241194484	26542.37137711265
