AD1	AD4	AD5	AD6	AD7	AD8	AP2	AP3	AP4	AP5	AP6	AP7	CON1	CON3	CON4	CON5	CON6	CON8
12702.06075	13612.92	12732.46697	5762.655054	5542.34332	5252.314666	6395.481856	8629.509019	12852.72517	9868.172394	5655.905826	8123.554167	8801.047602	7128.940725	9085.188567	6653.825522	4252.349554	10513.30225
20.74412776	45.31900523	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
16126.39	18144.78062	18598.43135	9187.34169	7520.821952	10218.21326	10789.10006	11160.72872	17434.70066	12765.55418	13666.25712	9848.681357	11899.59253	10279.20655	12755.24902	9878.311274	6944.493433	17485.9389
19144.2497	22466.00465	22899.77307	13457.50098	10374.74378	13889.73067	16793.00961	17402.43102	21757.95619	18674.17326	18816.11437	13638.86798	13647.70624	22296.63192	15295.50895	14413.53065	14087.8569	26044.3502
2593.992157	2029.535736	1002.575125	671.1369953	713.9433989	655.1357498	1509.121437	1826.622727	2514.764358	2087.362397	780.5898525	2289.998697	1523.788131	1296.722528	1284.506087	1315.582027	552.3505456	1911.986484
7.75719513	11.64145165	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2612.860087	2723.846304	1003.818813	414.5753608	847.6166525	586.4764902	565.4921261	701.2053409	1275.081458	930.8050499	173.855448	631.5064775	339.6570828	178.9955269	929.6241353	164.9182066	326.1771967	762.6259805
11660.88919	11413.96563	11518.97372	4774.447094	4387.908064	4359.966976	4739.657884	5412.751247	10730.15972	6938.540828	5320.986267	6150.489005	8543.054968	3812.29321	7364.77901	6651.582807	3169.333146	8894.848616
11058.7956	10942.86425	10312.83292	4147.851179	3797.907778	3300.91156	3942.775197	4478.112814	10061.69533	5986.130473	3946.139688	5371.571963	8641.903036	3210.255422	7419.659692	6338.286738	2725.143862	8602.360381
10209.70755	9878.5748	8167.476756	3234.036539	3454.090963	2688.830306	3508.907102	4749.292108	9166.19695	5926.738665	2477.325593	5080.171519	7566.586745	3176.777898	6652.795222	4451.207398	2026.460236	6373.283793
11258.76636	12279.889	13791.20938	5511.654889	5686.935978	5466.737702	7117.037808	8393.891672	13526.50916	10370.02586	6460.380787	8034.030537	9251.301293	8246.199453	9444.090099	7496.588852	4953.95213	12320.67851
3.33	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
23.04280613	68.6843677	2365.209051	0	232.79652	68.43037672	199.7536237	316.5636913	248.7517108	772.0747299	82.30192399	235.1989206	246.2200392	431.3268237	326.9146793	329.2916538	244.4794782	137.1889049
12636.85956	12349.3935	9799.849486	4264.548093	4558.806845	3997.503728	4488.918061	6303.439917	11535.33984	7242.974492	4301.290618	7152.97805	10126.93614	5679.643912	7895.39502	6123.008443	3289.578132	10573.70346
16385.33853	17779.979	18960.31944	8188.619988	7073.165561	6829.282735	8790.537157	10171.47872	17084.31352	11817.72666	7083.708631	9118.328462	11386.05606	7643.950904	12389.52502	9103.0217	5821.558215	14353.55218
142.035611	129.5883431	220.7375189	313.0385955	411.6267983	354.5694156	547.0459677	985.2542731	1279.286746	657.3336494	430.7549984	499.002353	266.710491	474.3838451	275.3632259	87.81815034	187.3447105	670.5534324
15462.81728	18378.59372	18484.1512	11033.46412	8531.876761	12058.54738	14018.80497	14482.6576	17909.40292	15250.9678	16651.18655	11224.09052	12106.55656	20315.05599	12624.04649	12462.82694	12356.38949	23470.18162
6931.430176	5777.605477	5215.217764	1570.788409	1603.940525	1122.02722	1531.964977	2124.71089	5017.60864	2456.394805	1213.152076	2562.411637	4500.312047	772.0900081	3131.042466	1836.485746	673.1751827	2837.355366
263.5462208	335.7416157	77.82832628	81.69046376	62.7510222	57.85228666	113.5039948	34.95394512	38.95269569	76.7796458	6.998436819	94.56049233	187.4030183	41.95299572	264.8801121	140.1372719	29.96109508	244.6192231
3360.959418	4549.46876	7656.072665	2650.347596	2986.233013	2596.95185	3758.309905	4408.318609	6814.636547	5852.550528	3751.760549	3873.154082	3924.95149	4296.11266	5176.954432	4106.121099	2816.778284	6557.982879
10582.11085	10210.8989	8596.779526	3403.403844	3592.326353	2891.65339	3661.346005	4961.381607	9549.832005	6196.485139	2732.327354	5287.916385	7890.985389	3547.773339	6939.424633	4696.58367	2219.335334	6996.55388
12798.73342	12475.36346	13791.31441	6200.832319	5267.568096	7835.979039	7624.247423	7721.719926	11763.68844	9444.589349	11244.74666	6496.187407	9308.130252	6168.047212	8193.380993	8187.776988	5135.740444	8704.842308
13834.55193	15784.29116	18332.12571	10063.81843	8197.259209	12037.25243	10812.57602	12283.50405	16023.93012	12439.25856	17650.15301	11117.16566	12318.36114	22965.23938	9535.33263	12495.9484	10737.47011	26440.64355
14876.76185	16447.87157	23608.09272	11098.1585	8211.340759	11839.76804	14679.38467	12738.86834	18356.32567	17159.31646	13942.72919	9496.17573	6959.717888	4862.274554	12333.29945	10010.641	9133.198011	8496.826782
5.760436269	17.28891063	0	0	0	20.79353942	0	0	0	0	0	0	0	0	0	0	0	0
17.69131689	26.57605377	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
80.62829907	67.66141632	125.3219767	167.6955353	234.1819881	362.6526372	323.2188207	592.0631981	749.280131	397.0340513	305.88442	254.9897764	144.0760596	387.3157977	162.1570554	38.87608414	217.4415954	409.0652236
14106.98256	15558.20021	18530.03363	9602.033977	8263.663082	11859.68427	10594.56898	12266.50449	16102.71644	12710.64828	17797.02554	11404.36849	12189.56195	23610.11094	9625.422873	12133.49006	10113.62412	26542.37138
8.322350837	24.97662765	1130.365895	0	89.3598426	24.96115416	74.64472312	122.5034141	92.20171648	310.2902498	29.95699719	89.52164431	94.52688143	168.0516988	124.0650152	127.3489839	94.13199042	49.89554771
6599.324809	8099.57637	11177.43588	5733.107638	4388.089665	5631.310871	9117.832955	8334.568622	9834.589065	10255.77386	6608.915855	5790.164257	3908.910874	4704.988259	8329.417571	6048.792573	6732.28068	7806.07148
6793.559052	4906.572057	12514.09524	3707.82084	4668.077161	5282.2655	6533.459811	6641.850396	10979.53817	9800.53284	7235.229776	5909.136627	6465.934377	6239.687249	7353.79836	6714.08769	4561.145377	9587.415732
1865.272452	917.9741632	809.8224432	511.649231	372.3739969	215.8522325	206.5792963	640.9425776	1526.187311	797.3596687	150.4246669	1272.599526	404.0026508	222.0051054	676.8047279	420.581995	136.5722616	1214.310606
2029.541442	1218.346365	512.013144	327.3563663	435.2476161	192.139892	189.0294288	483.7038557	1007.908983	553.1578741	90.70861057	937.208015	349.6818076	162.6507002	446.0157401	249.3286977	78.49614311	911.4863201
4426.760571	3722.039611	5439.48918	1701.499363	1627.62367	1299.940914	1735.402112	2021.484194	3487.348788	2816.400501	1514.783671	2250.718711	2487.739504	1469.349041	2682.462984	1496.018528	1107.467222	2841.648473
204.306134	128.2038626	0	58.09095284	16.65380558	0	0	18.84001708	60.84776616	0	0	34.42668699	0	0	190.862983	9.48126652	0	0
5637.97983	5146.682839	6727.327189	2279.78982	2205.240662	1514.922924	2099.813913	2887.914038	5278.827337	3356.880473	1866.350148	3175.380538	3212.12044	1741.820371	4110.557073	2101.203553	1390.666805	3609.94209
11817.70486	14061.8693	11164.16406	7615.047938	6342.844177	8163.738779	7751.830128	10231.51299	11423.9417	7974.346788	14142.00815	10448.07737	11214.60096	23964.52872	10196.32415	10308.00551	10112.54235	26095.57251
929.8900843	592.7559199	386.4464616	362.8982655	117.1487229	23.21012923	76.57082668	179.3937998	301.1985697	110.7000363	49.02062241	403.8069408	49.34893005	0	489.0600471	98.86140854	30.55347307	216.267771
204.306134	128.2038626	0	58.09095284	16.65380558	0	0	18.84001708	60.84776616	0	0	34.42668699	0	0	190.862983	9.48126652	0	0
14114.35884	16256.21021	19052.85787	9612.62895	8376.702074	10553.34938	12429.51648	13130.82316	16990.11115	14871.90817	14406.2948	11027.0338	8996.669298	16629.5013	11884.91575	10577.05412	10051.45063	18906.89513
6.658913315	19.98989524	4.659425158	0	1.339898964	19.9836707	0	0	0	0	0	0	0	0	13.33330852	0	0	0
4669.072636	3649.91599	5225.044748	1615.630035	1537.483689	1304.573847	1743.899957	1886.464164	3236.426473	2807.984733	1554.111229	2144.923407	2549.520807	1414.437171	2625.950713	1467.628902	1130.086547	2770.185022
7712.606534	7569.109885	6421.286465	2311.459727	2385.913106	1734.751538	2291.607334	2764.30386	6859.609422	3922.390542	1986.783972	3526.774398	6461.151662	2568.900029	5756.750528	3914.821047	1599.866645	5555.222072
13662.65744	14059.81399	11410.7081	4998.905138	4999.161394	4072.720777	4336.652188	6494.167129	11172.3531	6637.999784	4605.277465	7458.3713	10369.38913	5338.053983	8181.151612	6901.187081	3319.459905	11301.94974
15064.91878	15866.91963	11266.31873	6920.630194	6474.670063	7572.696192	5840.652484	9519.777535	12603.99952	7557.610491	11685.35917	10343.69823	13296.47371	21841.64852	8380.16755	9451.975885	7969.07668	24523.26109
5.327077087	11.34742601	0	0	0	14.10796148	0	0	0	0	0	0	0	0	0	0	0	0
16507.1437	18658.05203	18614.12992	9616.617428	7828.669493	10522.39462	11444.77546	11954.26071	17805.43708	13382.22872	14043.38364	10352.13301	12681.84642	11948.80911	12927.69196	10517.4025	7863.558492	19026.40185
9579.041018	9484.497702	14635.90094	7113.058997	5125.579407	6418.001954	7936.544491	7327.364174	12017.39761	9705.329026	8411.024381	5828.271986	4416.668206	2594.925382	7784.14715	7769.042232	5278.522444	8508.980342
23.80835307	126.8609057	0	0	0	86.15488391	0	0	0	0	0	0	0	0	0	0	0	0
13.29982437	29.90374917	0	0	0	19.90957641	0	0	0	0	0	0	0	0	0	0	0	0
3030.896929	3040.70961	3020.978401	2719.035012	1880.019483	3483.198274	2491.640349	2401.596535	3429.572831	2112.721139	4645.534412	1709.46122	29.87951089	0	1534.181686	2433.898235	1370.26804	948.783343
122.398781	19.95831319	214.470417	180.2198489	219.4631717	399.6481237	352.2387792	669.0040342	849.24154	506.806951	376.1272135	273.63892	274.9971417	507.6572263	368.2543115	178.2844523	270.9700195	493.002194
5413.656687	5219.090312	2989.118155	1730.777605	2080.738897	1384.828013	2005.727801	2728.692456	5388.387785	3262.508009	1625.226055	3322.448526	3537.862489	2163.752654	3447.700684	2680.451585	1327.524391	5439.58934
1471.537836	771.7962295	522.5399809	149.7002684	71.26114066	173.2505149	484.2099617	921.0143689	208.8598645	194.0439286	5.358120548	406.955988	334.0404512	43.61248803	168.5616144	134.270578	0	0
1851.012775	1172.214807	2388.124025	687.984069	1023.975	895.9117023	1208.136878	1627.335796	2254.685105	2651.554197	1011.323345	1767.769263	643.9764358	1631.821297	1255.10437	746.5065105	723.3362003	1224.424669
8337.857479	8066.760463	7993.851294	2681.739964	3154.050205	2475.698532	3194.07569	4010.457713	8022.970041	5583.879789	2689.045308	4627.742181	6479.954277	3316.838784	6105.912309	4227.57734	2096.492574	6029.712138
172.999904	1282.12963	1691.311558	620.3115593	566.1991136	620.1597005	1016.494571	821.469358	2154.926781	1781.522213	1180.949606	702.6608643	2227.270197	1182.705918	2137.777105	2000.733886	968.4700088	2882.125689
3425.143098	2492.389721	2111.949458	719.1333128	1384.571499	1292.207637	1641.972673	2196.286785	3953.826652	3271.733009	1664.320432	2246.991772	2666.591706	2261.771583	2827.760723	2118.998487	1298.82701	3210.752464
14867.15508	14595.26562	10459.9152	4960.919004	5102.980356	4404.600302	4794.558177	6909.226648	13432.23698	7823.185427	4484.728927	8384.993381	11445.43072	5822.505502	8770.481509	6521.662075	3368.169355	12056.14038
26.33047467	77.44576088	0	0	0	76.4364966	0	0	0	0	0	0	0	0	0	0	0	0
5713.798151	8631.949229	4235.589704	6023.725972	4179.743433	6934.274797	5459.021442	8022.531157	6073.323331	4197.009135	9578.181974	5693.102971	6585.754769	19390.84692	2282.92572	6094.256986	8599.517358	19547.29824
268.1083775	1951.665638	2580.446628	968.8654848	872.8347037	985.5533359	1604.191072	1272.09889	3253.26944	2714.44395	1972.566655	1080.687807	3319.101165	1943.981395	3199.433641	3179.670843	1609.073267	4733.679756
11.82428594	41.48253981	40.81560492	0	0	0	7.630540108	13.54505398	15.77367305	0	0	24.81826809	69.0557206	0	55.63112513	30.53777925	0	22.03812169
4.162171906	7.776373755	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
689.628615	703.1672266	303.8469302	29.82497006	335.2447285	164.1738838	53.25945415	116.5728757	327.944289	255.8550092	31.68448816	221.5478698	255.4967742	164.0041297	304.8479983	61.28719399	80.54583878	317.8580615
2040.020203	2238.777018	3825.767909	1232.512968	1666.365689	1596.585803	2140.332108	2410.360842	3699.140011	3813.347159	2157.652299	2230.275301	1818.142281	2777.497203	2617.474956	2061.754381	1684.628257	3431.39392
10211.19818	10194.07767	10054.36406	3773.672056	4034.88179	3352.600825	4456.822145	5834.145176	9828.767089	7070.523523	3755.575636	5867.994912	7440.003522	4451.657988	7239.308977	5369.576145	2834.938841	7537.308065
21965.34231	23359.00639	20379.83356	10566.22225	8840.861557	7854.27368	12282.06306	14535.28307	20742.82334	15109.57032	6214.720329	12127.41009	15034.99678	6726.714939	15201.22273	11215.7324	7336.612461	14398.48736
12819.36142	15347.3423	18069.34532	10170.49342	7426.275813	10732.53531	13397.46931	12516.4229	15668.98579	14229.70813	14790.40037	9366.883874	8581.051854	8771.052006	11337.7777	10716.50018	9961.972491	13344.41138
7.75719513	11.64145165	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6.655601092	9.993976811	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
49.48099534	146.2257877	0	0	0	142.6102743	0	0	0	0	0	0	0	0	0	0	0	0
3601.552735	3963.874768	5413.155597	1933.346362	2566.325017	2352.246282	3001.82946	3970.664666	5374.537258	5264.49178	2941.716263	3882.976604	1901.099432	3471.219445	3595.457294	2462.599994	2163.094752	3870.438343
11367.80884	14715.09837	15986.92487	10770.10249	7582.425305	11846.14233	13631.97894	13329.42083	14726.62769	13553.01872	16735.10196	9573.319459	8583.47856	19361.88204	10116.79443	11166.37586	12118.52651	21430.18781
14037.85559	17584.64684	17635.88834	12011.99854	8746.385085	13219.22631	15253.22634	15480.36538	17137.93682	15373.20622	18895.58499	11475.38938	10982.19003	23409.68433	11806.28614	13119.7319	13992.14231	25795.31941
0	47.95324742	0	10.49673466	25.47286741	32.96966592	297.6875094	658.0377731	38.96497813	41.95595319	8.998197028	23.97983074	29.96833127	20.99262847	2.999480162	14.9928546	0	4.499707425
18223.1386	20121.7817	18218.85086	13975.75706	9497.431134	15457.38325	16786.00264	16804.62311	19127.50309	16293.18562	21294.91952	12676.29319	12578.35722	26552.66144	11860.59479	13731.31527	15338.39716	29582.22758
210.8923793	7.933237067	36.19351837	48.73184482	23.05535104	0	179.0536418	271.9675745	103.885563	16.82067193	11.48489276	123.3383327	224.6939449	21.09704624	287.5072522	115.5553541	0	134.0224456
89.63111035	69.16984738	189.6306677	34.58875874	118.0884953	30.30644183	0	0	300.6044963	0	0	90.33443831	177.852951	190.6586748	289.0704017	11.9059978	0	189.1832406
5647.040104	2328.683003	1056.41093	1535.761183	784.5002236	307.0205486	278.5266557	864.4059278	2150.592171	1206.877994	231.0615574	1727.123387	1245.453306	222.4152826	2449.95958	554.3485155	149.6373426	1583.850913
871.74617	1148.41368	6619.624153	2290.634848	2383.597176	2553.732025	3515.343176	3443.779706	5793.081235	5647.282998	2672.785997	3129.46647	1930.843421	1824.475226	3714.665913	2857.534607	1954.934992	3953.193705
758.4389388	1354.483518	159.3813546	74.75144147	226.9917832	0	32.46120374	26.22535784	153.1106286	0	0	220.3241834	254.1975567	0	379.3711113	62.34167982	0	126.2929932
863.0167235	4518.022862	5576.029873	2190.077424	2004.478008	2121.090416	2895.961904	2847.568851	6278.522325	4556.397631	2904.518596	2589.40716	4926.279942	2932.802871	5057.19221	4833.515735	2097.097697	6764.334369
6323.99053	7110.738167	10017.78003	3770.245928	4328.089407	4050.279196	5451.923931	6174.852899	8692.595404	8371.68049	5235.678573	5948.868595	3691.208755	5851.898755	5962.824938	4690.461766	3989.122899	7828.734195
13039.50139	13794.54165	16306.5515	9439.129343	6991.128037	9202.926773	9931.82892	10529.0437	14785.57106	11465.81541	12100.46127	8660.856549	7312.332704	5432.646897	10014.24974	10703.15206	8460.409103	15096.54992
5913.394421	6138.101543	3987.589458	5026.466795	3550.923063	4911.412947	5284.248685	5352.323214	6815.118667	4167.402093	6151.938871	4261.951102	3217.063129	1879.215797	5583.591648	6332.739506	4438.684982	6839.682212
222.6662124	119.7765468	69.14538749	60.20122103	0	4.791058747	97.20682962	31.26634441	153.2858917	0	0	46.81544629	38.13481229	6.588487155	22.3775819	8.202531646	0	3.80086842
6291.102597	6478.531025	6195.153014	2478.084968	2777.251119	3297.899384	3798.834276	4083.882204	7934.223351	5895.576876	3605.446063	3829.130649	5025.18732	3480.758733	4824.558501	3715.332788	2488.197974	5492.872413
