OTUID,TOTAL,AD,AP,CON
012fd906263ae98fa1e0aeae235e9510,5.666666667,0,10.83333333,6.166666667
01526cee3fdf7ad501533f8e79cee802,38.94444444,24.5,47,45.33333333
017213032a7a4e78be651d3e02fd3513,0.777777778,0,2.333333333,0
017b82a4722188c130fadc4ddf15be0f,39.72222222,88.66666667,30.5,0
01ccc9f9ab02df58812600468f9de4c3,5.111111111,13.16666667,1.166666667,1
01d2339e33c53dfb3e90191f8706855e,1.055555556,0,2,1.166666667
0221ac31aa16e6e6b7d213958446adeb,3.611111111,0,9.333333333,1.5
02626b339b82d1085401667d702c9ffc,0.222222222,0,0,0.666666667
029a724311054af606fb9072f47cbbb9,0.611111111,0,1.833333333,0
02b6a4e76404aa80af20252ab6d8edf5,1.222222222,0,0,3.666666667
02ec4fe076ee71a55f438dc91ac645ba,1.333333333,0,0,4
03827d6322ebbc35fd780b2d59d01775,9.111111111,27.33333333,0,0
03c9767edaac5ecee0a0bb25c0fbda6d,0.388888889,0,0,1.166666667
04be702b895fe5ed0568344daf564276,0.111111111,0.333333333,0,0
0524fe2272760ca36fba73e82ad77e74,1.166666667,3.5,0,0
05d2e6f2c8c334be6e9cc652426165da,0.166666667,0,0.5,0
0615eff74d0f2f3c25ad85862daab20b,0.333333333,1,0,0
062ce343b799626f07c788c476cb9186,3.666666667,3.666666667,0,7.333333333
064791d92071ba6a21ef57488796dacb,1.888888889,0,5.666666667,0
064ad1ad889da847966bdb0600059b99,26.94444444,0,80.83333333,0
076457e2c7128179ea6755249b641f23,2.944444444,8.833333333,0,0
0782fdaa348dd6fa9b80eae2b6333388,73.27777778,134,35.83333333,50
07d6098878b38771be900a15269acf09,6,0,8.666666667,9.333333333
07efe1dcf1b2ba7f941f4c2632ae6957,2.055555556,0,0,6.166666667
07fe146a1e0df90b9381a567078cd960,1.222222222,0,0,3.666666667
08ba5933cb112eadc3c71de7cef9d029,4,1.5,10.5,0
08ed17794e8af08e5f0fb28b4e415a5a,17.44444444,3.333333333,16.5,32.5
09782ed04138ce2dfa093f0f435b204b,1.777777778,5.333333333,0,0
09dd561731c0af24b96cc0ba6e57ec9b,0.555555556,0,1.666666667,0
0a25a8dcca0dcc62ce66d46bfddeda5a,11.16666667,0,20.5,13
0a3f05ad4a67281b9b6560ac3076aa76,1,0,3,0
0a9640c9475123ce8715a72ce95037ad,0.388888889,0,1.166666667,0
0b7aa89f029b63c62ebdbbe793c0c65f,0.222222222,0,0.666666667,0
0b89881c3eddfdba2a3e1f418496b200,0.111111111,0,0.333333333,0
0c8683fd3867df9e82c58f1c26e6a136,2.388888889,0,7.166666667,0
0d6662ad72a9d229df0cd39a5352cb6b,1.666666667,0,0,5
0d7dd2a18a632a2029783912f515a73b,0.388888889,0,1.166666667,0
0da03528d09c7777b72cdb2195beab99,10,30,0,0
0da613e8d89cfcdeaa139caf8f2506f5,0.611111111,0,0,1.833333333
0debac7bda0e8a1808ee18f1fa0fff95,5,0,15,0
0eba0dfaf3894d0cb8ae783668b2816b,0.444444444,0,1.333333333,0
0eebf22536faa70d10968eb4972b2736,15.88888889,35.66666667,8,4
0f3d5ab93a1bdff74c4c3fbe0ad3206b,19.5,37.5,8.5,12.5
0fdcb15125926008f79a128031b3448b,5.444444444,5.666666667,6.5,4.166666667
1099950f329f9b0cc24b900fcc0a0d89,0.222222222,0,0,0.666666667
10cffeae66880b9c81b6248f39f17562,1.333333333,0,0,4
112adc0ffa68eed2345db733879b40e0,11.94444444,30.5,3,2.333333333
114d2848dc929d1a26b8bfa252235155,4.166666667,0,0,12.5
1183cea45066e2b1d63ee62f59a4d069,3.444444444,10.33333333,0,0
1194d18ebb458c31461a27b976959000,0.388888889,0,1.166666667,0
11ea8da3179e422f7c55632508ff7ef5,3,9,0,0
11f677d62a3ec0969a65966eb7050c7f,30.61111111,73,0,18.83333333
123e8afb142134d5ba98230fad9af166,10.66666667,1,20,11
12f86a506e45fc587b5b643030d5b629,5.388888889,2.666666667,3,10.5
1427410368a7fecb6d56d735437d5ba1,1.5,4.5,0,0
143d26e50f457d01671a14213d117218,0.222222222,0,0,0.666666667
1499e5ab221fb759ce2d3763ac56b759,1.222222222,0,0,3.666666667
14bbdef7888394af48a13ea2bd927db7,2.5,0,5.333333333,2.166666667
151e42d762610156c1ecec31f8acfa87,1.222222222,1.333333333,1.5,0.833333333
15a00c122a16115d832cab88e5a4a918,0.166666667,0,0.5,0
15f9cc80e07dea12aa7f52aaa52a749e,0.166666667,0.5,0,0
160efa2a41c4cec475f79506e42374ca,183.5,168.6666667,220,161.8333333
169426fb63cf4456256ca973996ac586,1.777777778,1.5,3,0.833333333
16c6f384c3a28228f7b68b1154c7feec,0.611111111,0,0,1.833333333
16cd2aac20c25e86ac42480fb9d61b14,0.5,1.5,0,0
16d389a6f02ef11e7016e1aadc83f261,4.777777778,0,14.33333333,0
17ab34201671f799caffcc3d27b70a2c,12.77777778,24.83333333,3,10.5
183fe7e529396a44d1650b3b478d7314,0.888888889,1.5,1.166666667,0
18884cbc0f457899b5467702b80f29b2,5.277777778,1.833333333,5.166666667,8.833333333
1996e1aa486e155bae39e6865a49c191,5.277777778,14.16666667,1.666666667,0
19d1ac8febd7ed7dcecb8d12eb4954c1,7.777777778,5.333333333,18,0
1a1f4973124dc9816375efc812ac2a21,0.333333333,0,0,1
1a4aa7c6e548084c519369e2661255c6,24.11111111,43,7.333333333,22
1a54657afd268b0d7e1d5893d79ad619,1.888888889,0,5.666666667,0
1ac26d21ffae184b4aa30672114cac5f,1.944444444,0,5.833333333,0
1b1866acfc4e964443f0a1ab12a7216d,0.555555556,1,0.666666667,0
1b1d113910d331f5ff136ff118ae0258,0.888888889,0,2.666666667,0
1b51626e808a16839964bc946cea6daf,0.222222222,0.666666667,0,0
1bcc8306e8924428b96b4731de22e4cc,4.277777778,10.5,1.5,0.833333333
1be897ba1ae9fde0a82ba4d0c71f159b,18.88888889,0,4.833333333,51.83333333
1befc77b7e0b0f10dcc5881704e9db92,0.666666667,2,0,0
1c6bc1a18afda1dc4316e54d7cecab99,3.666666667,0,11,0
1c92e8da0f4c5f73d3b4fa51588725d7,0.944444444,0,0,2.833333333
1d279a1860327ae774e3796a6bb14a9b,3.666666667,0,0,11
1d38c507dc4df6a761f9eb7fd995f157,0.222222222,0,0.666666667,0
1d42257239e8407396cd155b16ad2a3f,3.111111111,1.5,4,3.833333333
1dcd69ae1c723546e7f87854061452f6,6.277777778,0,0,18.83333333
1dd262d9d575ef6578f11013578935a3,0.444444444,0,1.333333333,0
1e088f9138870333c0385bb506f3f8b0,0.555555556,0,0,1.666666667
1e1143b781d6fb2c3c607275ab84f2f7,0.111111111,0,0.333333333,0
1e4a25e88c4c547b41d40a6f630c3896,15.83333333,40.16666667,7.333333333,0
1e7899bf6421f1f36b3a84fdfe5e1bfe,0.5,0,0,1.5
1ef8eb325e4c5613e7c5d580951f6217,2.666666667,0,8,0
1f001c2c28e0efe142b711ae98db6335,1.777777778,5.333333333,0,0
1f200ef50380f90d7630860660aa1a2f,1.777777778,5.333333333,0,0
1f78872e14ef66392dbb931869c134ad,3,0,0,9
1f7fe50110d76705b612812e25966029,0.888888889,0,0,2.666666667
20f78d29e3b8a9354bd440d0d1316e34,0.333333333,0,0,1
2173688f3c2254db2cf905a6c350bf79,6.333333333,8,4,7
21a1e0c27c5db9fe1d5d9cc3a7a044ea,0.388888889,0.666666667,0,0.5
22b84641981d2389b1938b0e5dbdad21,0.222222222,0.666666667,0,0
23389a84b5739cc81c733bc0db2d22a7,0.388888889,1.166666667,0,0
