"feature"	"enrich_group"	"ef_lda"	"pvalue"	"padj"
" c__Bacilli____"	"AD"	4.99933646276208	0.0106322903473877	0.0106322903473877
" g__Lachnospiraceae_NK4A136_group_ s__uncultured_bacterium"	"AD"	3.84875656722303	0.0132425266389874	0.0132425266389874
" g__Parasutterella_"	"AD"	3.24119261037162	0.00683641212580624	0.00683641212580624
" g__Anaerotruncus_ s__uncultured_bacterium"	"AD"	3.00318183788398	0.0235456677392217	0.0235456677392217
" g__Candidatus_Arthromitus_"	"AP"	3.83934754647157	0.0166092394804961	0.0166092394804961
" g__Clostridia_UCG-014_"	"AP"	3.76285816494217	0.0343243306992939	0.0343243306992939
" g__Prevotellaceae_UCG-001_ s__uncultured_bacterium"	"AP"	3.41321687069943	0.0353315552697601	0.0353315552697601
" g__Ruminococcus_ s__unidentified"	"AP"	3.29517957654774	0.0218877456483195	0.0218877456483195
" g__Clostridia_vadinBB60_group_ s__unidentified"	"AP"	2.87286706176189	0.0486727478201494	0.0486727478201494
" s__Streptococcus_danieliae"	"AP"	2.8403643938277	0.0462835584105868	0.0462835584105868
" g__Aerococcus_"	"AP"	2.58211822458349	0.00854297548517708	0.00854297548517708
" g__Jeotgalicoccus_"	"AP"	2.4391582095302	0.0345016487490504	0.0345016487490504
" s__Lactobacillus_intestinalis"	"CON"	4.59068167341119	0.0319224918348958	0.0319224918348958
" g__Helicobacter_"	"CON"	4.28611491175622	0.017127624139044	0.017127624139044
" s__Mucispirillum_schaedleri"	"CON"	3.61310952676916	0.016437571651773	0.016437571651773
" g__Clostridia_UCG-014_ s__unidentified"	"CON"	3.28859265496492	0.0155995946388996	0.0155995946388996
" g__Bifidobacterium_"	"CON"	3.115205129961	0.0345016487490504	0.0345016487490504
" g__Anaeroplasma_ s__uncultured_bacterium"	"CON"	2.61805280241498	0.0206265767774765	0.0206265767774765
" g__NK4A214_group_ s__unidentified"	"CON"	2.52884172937393	0.0258430450595841	0.0258430450595841
