"Kingdom"	"Phylum"	"Class"	"Order"	"Family"	"Genus"	"Species"	"AD1"	"AD4"	"AD5"	"AD6"	"AD7"	"AD8"	"AP2"	"AP3"	"AP4"	"AP5"	"AP6"	"AP7"	"CON1"	"CON3"	"CON4"	"CON5"	"CON6"	"CON8"
"d__Bacteria"	" p__Actinobacteriota"	" c__Actinobacteria"	" o__Bifidobacteriales"	" f__Bifidobacteriaceae"	" g__Bifidobacterium"	""	0	0	0	0	0	0	0	0	0	0	0	0	0.000667408231368187	0	0	0.0170342004489634	0.000504759157773291	0
"d__Bacteria"	" p__Actinobacteriota"	" c__Actinobacteria"	" o__Bifidobacteriales"	" f__Bifidobacteriaceae"	" g__Bifidobacterium"	""	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00356529776838769	0	0
"d__Bacteria"	" p__Firmicutes"	" c__Bacilli"	" o__Bacillales"	" f__Bacillaceae"	" g__Bacillus"	" s__Lactobacillus_vaginalis"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000407138494944697	0	0	0
"d__Bacteria"	" p__Firmicutes"	" c__Bacilli"	""	""	""	""	0	0	0	0	0	0	0	0	0	0.000177168841906337	0	0	0	0	0	0	0	0
"d__Bacteria"	" p__Firmicutes"	" c__Bacilli"	""	""	""	""	0	0	0	0	0.00029603315571344	0	0	0	0	0	0	0	0	0	0	0	0	0
"d__Bacteria"	" p__Firmicutes"	" c__Bacilli"	" o__Lactobacillales"	" f__Lactobacillaceae"	" g__Lactobacillus"	""	0	0	0	0	0	0	0	0.000116904372223521	0	0	0	0	0	0	0	0	0	0
"d__Bacteria"	" p__Firmicutes"	" c__Bacilli"	""	""	""	""	0	0	0	7.63067531476536e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"d__Bacteria"	" p__Firmicutes"	" c__Bacilli"	" o__Lactobacillales"	" f__Lactobacillaceae"	" g__Lactobacillus"	""	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0021035488905476	0	0	0
"d__Bacteria"	" p__Firmicutes"	" c__Bacilli"	" o__Lactobacillales"	" f__Lactobacillaceae"	" g__Lactobacillus"	""	0.000451390848050556	0.00227998176014592	0	0	0.00167752121570949	0	0	0	0	0	0	0	0.000741564701520208	0	0	0	0	0
"d__Bacteria"	" p__Firmicutes"	" c__Bacilli"	" o__Lactobacillales"	" f__Lactobacillaceae"	" g__Lactobacillus"	""	0	0	0	0	0	0	0	0	0.000194713527722339	0	0	0	0	0	0	0	0	0
"d__Bacteria"	" p__Firmicutes"	" c__Bacilli"	" o__Lactobacillales"	" f__Lactobacillaceae"	" g__Lactobacillus"	""	0	0	0	0	0	0	0	0	0	0	0	0	0.000222469410456062	0	0	0	0	0
"d__Bacteria"	" p__Firmicutes"	" c__Bacilli"	" o__Lactobacillales"	" f__Lactobacillaceae"	" g__Lactobacillus"	""	0	0.00337437300501596	0	0.00343380389164441	0	0	0	0	0	0	0	0.00481964003313503	0	0	0	0	0	0
"d__Bacteria"	" p__Firmicutes"	" c__Bacilli"	" o__Lactobacillales"	" f__Lactobacillaceae"	" g__Lactobacillus"	""	0	0	0	0	0	0.000444115470022206	0	0	0	0	0	0	0	0	0	0	0	0
"d__Bacteria"	" p__Firmicutes"	" c__Bacilli"	" o__Lactobacillales"	" f__Lactobacillaceae"	" g__Lactobacillus"	""	0	0	0	0	0	0	0	0	0	0.000118112561270891	0	0	0	0	0	0	0	0
"d__Bacteria"	" p__Firmicutes"	" c__Bacilli"	" o__Lactobacillales"	" f__Lactobacillaceae"	" g__Lactobacillus"	""	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000582750582750583	0	0	0	0
"d__Bacteria"	" p__Firmicutes"	" c__Bacilli"	" o__Lactobacillales"	" f__Lactobacillaceae"	" g__Lactobacillus"	""	0	0	0	0.000152613506295307	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"d__Bacteria"	" p__Firmicutes"	" c__Bacilli"	" o__Lactobacillales"	" f__Lactobacillaceae"	" g__Lactobacillus"	""	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.68078651253888e-05
"d__Bacteria"	" p__Firmicutes"	" c__Bacilli"	" o__Lactobacillales"	" f__Lactobacillaceae"	" g__Lactobacillus"	""	0	0	0	0	0	0	0	0	0	0	0	0	0.00274378939562477	0	0	0	0	0
"d__Bacteria"	" p__Firmicutes"	" c__Bacilli"	" o__Lactobacillales"	" f__Lactobacillaceae"	" g__Lactobacillus"	""	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00021632535333141	0
"d__Bacteria"	" p__Firmicutes"	" c__Bacilli"	" o__Lactobacillales"	" f__Lactobacillaceae"	" g__Lactobacillus"	""	0	0	0	0	0	0	0.000125596583772921	0	0	0	0	0	0	0	0	0	0	0
"d__Bacteria"	" p__Firmicutes"	" c__Bacilli"	" o__Lactobacillales"	" f__Lactobacillaceae"	" g__Lactobacillus"	""	0	0	0	0	0	0	0	0	0	0	0.000107492206815006	0	0	0	0	0	0	0
"d__Bacteria"	" p__Firmicutes"	" c__Bacilli"	" o__Lactobacillales"	" f__Lactobacillaceae"	" g__Lactobacillus"	""	0	0	0	0	0	0	0	0.000116904372223521	0	0	0	0	0	0	0	0	0	0
"d__Bacteria"	" p__Firmicutes"	" c__Bacilli"	" o__Lactobacillales"	" f__Lactobacillaceae"	" g__Lactobacillus"	""	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.68078651253888e-05
"d__Bacteria"	" p__Firmicutes"	" c__Bacilli"	" o__Lactobacillales"	" f__Lactobacillaceae"	" g__Lactobacillus"	""	0	0	0	0	0	0	0	0	0.00209317042301514	0	0	0	0	0	0	0	0	0
"d__Bacteria"	" p__Firmicutes"	" c__Bacilli"	" o__Lactobacillales"	" f__Lactobacillaceae"	" g__Lactobacillus"	" s__Lactobacillus_intestinalis"	0	0	0	0	0	0	0	0	0.000681497347028185	0	0	0	0	0	0	0	0	0
"d__Bacteria"	" p__Firmicutes"	" c__Bacilli"	" o__Lactobacillales"	" f__Lactobacillaceae"	" g__Lactobacillus"	""	0	0	0	0	0	0	0	0.000233808744447042	0	0	0	0	0	0	0	0	0	0
"d__Bacteria"	" p__Firmicutes"	" c__Bacilli"	" o__Lactobacillales"	" f__Lactobacillaceae"	" g__Lactobacillus"	""	0	0	0	0	0	0	0	0.000175356558335282	0	0	0	0	0	0	0	0	0	0
"d__Bacteria"	" p__Firmicutes"	" c__Bacilli"	" o__Lactobacillales"	" f__Lactobacillaceae"	" g__Lactobacillus"	""	0	0	0	0	0	0	0	0	0	0	0	0.000376534377588674	0	0	0	0	0	0
