"V1"	"Kingdom"	"Phylum"	"Class"	"Order"	"Family"	"Genus"	"Species"	"Kruskal_test"	"Dunn_AD.AP"	"Dunn_AD.CON"	"Dunn_AP.CON"	"AD_mean"	"AD_SD"	"AP_mean"	"AP_SD"	"CON_mean"	"CON_SD"	"total"	"AD1"	"AD4"	"AD5"	"AD6"	"AD7"	"AD8"	"AP2"	"AP3"	"AP4"	"AP5"	"AP6"	"AP7"	"CON1"	"CON3"	"CON4"	"CON5"	"CON6"	"CON8"
"694f413b53b76692d2bf1cd02091399c"	"d__Bacteria"	" p__Firmicutes"	" c__Bacilli"	" o__Lactobacillales"	" f__Lactobacillaceae"	" g__Lactobacillus"	" s__Lactobacillus_intestinalis"	"0.0319224918348958"	"0.0331163269473501"	"0.197962116588441"	"1"	"0.00324372408893236"	"0.00203446702521926"	"0.0410161859278685"	"0.0207593157258818"	"0.0655354016703796"	"0.0885070900416744"	"0.0365984372290602"	"0.00626304801670146"	"0.000227998176014592"	"0.00218257733915354"	"0.00434948492941625"	"0.0029603315571344"	"0.00347890451517395"	"0.0469103240391861"	"0.0260696750058452"	"0.0360220026286326"	"0.0248036378668871"	"0.0801354401805869"	"0.0321560358460727"	"0.00541342232109752"	"0"	"0.23030467530705"	"0.0757955895946124"	"0.0781655610037496"	"0.00353316179576789"
"bf3c0011f140eaca642a4816236a5897"	"d__Bacteria"	" p__Firmicutes"	" c__Bacilli"	" o__Bacillales"	" f__Bacillaceae"	" g__Bacillus"	" s__Lactobacillus_vaginalis"	"0.325546689351153"	"1"	"0.402271053157829"	"1"	"0"	"0"	"7.16614712100039e-05"	"0.000175534038681657"	"0.00015588845948801"	"0.000244516481602228"	"7.58499768993379e-05"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0.000429968827260024"	"0"	"0"	"0"	"0.000407138494944697"	"0.000528192261983362"	"0"	"0"
"d905189c7cc95dd740900394eacb4d9f"	"d__Bacteria"	" p__Firmicutes"	" c__Bacilli"	" o__Lactobacillales"	" f__Lactobacillaceae"	" g__Lactobacillus"	" s__gut_metagenome"	"0.36787944117144"	"0.66201408575954"	"1"	"0.66201408575954"	"0"	"0"	"3.76534377588674e-05"	"9.22317095708705e-05"	"0"	"0"	"1.25511459196225e-05"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0.000225920626553204"	"0"	"0"	"0"	"0"	"0"	"0"
"b4ec94217791dc0bab580d4288ade796"	"d__Bacteria"	" p__Actinobacteriota"	" c__Coriobacteriia"	" o__Coriobacteriales"	" f__Atopobiaceae"	" g__Coriobacteriaceae_UCG-002"	" s__uncultured_bacterium"	"0.120314388400899"	"1"	"0.224117799936391"	"0.224117799936391"	"0"	"0"	"0"	"0"	"0.000234138086411381"	"0.000363038669217302"	"7.80460288037936e-05"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0.000678564158241162"	"0.000726264360227123"	"0"	"0"
"fc7bca7e6ec63b7d0a2f9cd2f566a854"	"d__Bacteria"	" p__Proteobacteria"	" c__Gammaproteobacteria"	" o__Burkholderiales"	" f__Sutterellaceae"	" g__Parasutterella"	" s__uncultured_bacterium"	"0.0987871541587389"	"1"	"0.52858501576143"	"0.100645372488077"	"0.000422547202348005"	"0.000664670993480482"	"0.000453314070363532"	"0.000439341888458998"	"0"	"0"	"0.000291953757570512"	"0"	"0"	"0"	"0.00144982830980542"	"0.00108545490428261"	"0"	"0.000627982918864607"	"0"	"0.000292070291583508"	"0.00112206933207347"	"0"	"0.000677761879659613"	"0"	"0"	"0"	"0"	"0"	"0"
"c625a1db96ab91c4bc591c0964ad2e53"	"d__Bacteria"	" p__Deferribacterota"	" c__Deferribacteres"	" o__Deferribacterales"	" f__Deferribacteraceae"	" g__Mucispirillum"	" s__Mucispirillum_schaedleri"	"0.016437571651773"	"1"	"0.0213988476419858"	"0.0831278972420727"	"0.00137358966161571"	"0.00277918944775684"	"0.000887043782465195"	"0.00101408585421803"	"0.00777414823418126"	"0.00589511707905075"	"0.00334492722608739"	"0.00699655814478361"	"0"	"0.000948946669197191"	"0"	"0.00029603315571344"	"0"	"0.000627982918864607"	"0"	"0.000924889256681108"	"0.00053150652571901"	"0.000376222723852521"	"0.00286166126967392"	"0.0136447905079718"	"0.000717231486462256"	"0.0149284114813056"	"0.00785685989700251"	"0.00158638592443034"	"0.00791121010791505"
"e1e11bd34a38fa815033a3d66a912a2f"	"d__Bacteria"	" p__Campilobacterota"	" c__Campylobacteria"	" o__Campylobacterales"	" f__Helicobacteraceae"	" g__Helicobacter"	" s__Helicobacter_marmotae"	"0.36787944117144"	"1"	"0.66201408575954"	"0.66201408575954"	"0"	"0"	"0"	"0"	"4.40160218319468e-05"	"0.000107816793995474"	"1.46720072773156e-05"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0.000264096130991681"	"0"	"0"
"c68da04e2127a198e9df423c0f133308"	"d__Bacteria"	" p__Desulfobacterota"	" c__Desulfovibrionia"	" o__Desulfovibrionales"	" f__Desulfovibrionaceae"	" g__uncultured"	" s__uncultured_Desulfovibrionales"	"0.365594483067111"	"1"	"0.528068926969603"	"0.887266360587478"	"0.000142342000379579"	"0.000348665269897017"	"0.000169751758862284"	"0.000283752309664718"	"0.000341758232985494"	"0.000306578392137644"	"0.000217950664075786"	"0"	"0"	"0.000854052002277472"	"0"	"0"	"0"	"0"	"0"	"0.000340748673514092"	"0"	"0"	"0.000677761879659613"	"0.000593251761216166"	"0"	"0.000746420574065278"	"0"	"0.000288433804441881"	"0.000422443258189639"
"f24fb97f9535ab02ce6f7913c70cc0ee"	"d__Bacteria"	" p__Desulfobacterota"	" c__Desulfovibrionia"	" o__Desulfovibrionales"	" f__Desulfovibrionaceae"	" g__Desulfovibrio"	" s__uncultured_bacterium"	"0.57722060113943"	"1"	"1"	"0.983644310116213"	"0.00418811260125862"	"0.00645267747333241"	"0.00242677889708975"	"0.0030896172240669"	"0.0039406967988932"	"0.00399399967373985"	"0.00351852943241385"	"0"	"0"	"0.00488707534636553"	"0.0167874856924838"	"0.000789421748569173"	"0.00266469282013323"	"0"	"0.00298106149169979"	"0.0018984568952928"	"0"	"0.00139739868859508"	"0.00828375630695082"	"0.00385613644790508"	"0.000851712390173929"	"0.011671303521748"	"0.000924336458470883"	"0.00288433804441881"	"0.0034563539306425"
"151e42d762610156c1ecec31f8acfa87"	"d__Bacteria"	" p__Firmicutes"	" c__Clostridia"	" o__Oscillospirales"	" f__UCG-010"	" g__UCG-010"	" s__uncultured_organism"	"0.804337191285628"	"1"	"1"	"1"	"0.000119241054644473"	"0.000203681794258625"	"8.85844209531684e-05"	"0.000216986630495173"	"5.65470131867635e-05"	"0.000138511328786002"	"8.81241629281348e-05"	"0"	"0"	"0"	"0"	"0.000493388592855733"	"0.000222057735011103"	"0"	"0"	"0"	"0.00053150652571901"	"0"	"0"	"0"	"0"	"0.000339282079120581"	"0"	"0"	"0"
"5c33db7c460ec1200192e97fda0dbb2e"	"d__Bacteria"	" p__Firmicutes"	" c__Clostridia"	" o__Oscillospirales"	" f__Oscillospiraceae"	" g__NK4A214_group"	" s__unidentified"	"0.0258430450595841"	"0.0498038366293276"	"0.067113476562487"	"1"	"3.7999696002432e-05"	"9.30798655868361e-05"	"0.000368684477090407"	"0.00032646294415418"	"0.000379547609190198"	"0.00025901454395131"	"0.000262077260761012"	"0"	"0.000227998176014592"	"0"	"0"	"0"	"0"	"0.000376789751318764"	"0.000935234977788169"	"0.000340748673514092"	"0"	"0.000107492206815006"	"0.000451841253106409"	"0.000741564701520208"	"0.000313788775327237"	"0.000339282079120581"	"0.000594216294731282"	"0.000288433804441881"	"0"
"4a5ca2c1b01a086ac047342cae74a6bc"	"d__Bacteria"	" p__Firmicutes"	" c__Clostridia"	" o__Oscillospirales"	" f__Oscillospiraceae"	" g__uncultured"	" s__unidentified"	"0.363705813441411"	"0.471263772544085"	"1"	"1"	"0"	"0"	"0.000180776703034001"	"0.000285845784449205"	"0.000395501174144111"	"0.000968776069324703"	"0.000192092625726037"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0.0006328189650976"	"0"	"0"	"0.000451841253106409"	"0.00237300704486466"	"0"	"0"	"0"	"0"	"0"
"49d100f9906bf4d6aeeb9472dc402f89"	"d__Bacteria"	" p__Firmicutes"	" c__Clostridia"	" o__Oscillospirales"	" f__Butyricicoccaceae"	" g__UCG-009"	" s__uncultured_bacterium"	"0.36787944117144"	"1"	"0.66201408575954"	"0.66201408575954"	"0"	"0"	"0"	"0"	"3.70782350760104e-05"	"9.08227564991909e-05"	"1.23594116920035e-05"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0.000222469410456062"	"0"	"0"	"0"	"0"	"0"
"2f84e0f713ad12b7f80d875da9bd194a"	"d__Bacteria"	" p__Firmicutes"	" c__Clostridia"	" o__Oscillospirales"	" f__Butyricicoccaceae"	" g__Butyricicoccus"	" s__uncultured_bacterium"	"0.380277134565821"	"1"	"0.579382455182812"	"0.847049923293584"	"0.00148794888416925"	"0.00221728034802609"	"0.000608305823658436"	"0.000732211567072177"	"0.000213203292899655"	"0.000336528542929747"	"0.00076981933357578"	"0.00220053038424646"	"0.0056999544003648"	"0.000569368001518315"	"0.000457840518885921"	"0"	"0"	"0"	"0.000584521861117606"	"0.00184977851336222"	"0"	"0.000161238310222509"	"0.00105429625724829"	"0.000741564701520208"	"0"	"0"	"0"	"0"	"0.000537655055877722"
"0da613e8d89cfcdeaa139caf8f2506f5"	"d__Bacteria"	" p__Firmicutes"	" c__Clostridia"	" o__Oscillospirales"	" f__Butyricicoccaceae"	" g__UCG-009"	" s__uncultured_organism"	"0.36787944117144"	"1"	"0.66201408575954"	"0.66201408575954"	"0"	"0"	"0"	"0"	"0.000121044060037854"	"0.000296496183487554"	"4.03480200126179e-05"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0.000726264360227123"	"0"	"0"
