Group	AD	AD	AD	AD	AP	AP	AP	AP	AP	AP	CON	CON	CON	CON	CON	CON
Taxon	AD1	AD5	AD6	AD8	AP2	AP3	AP4	AP5	AP6	AP7	CON1	CON3	CON4	CON5	CON6	CON8
d__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridia_UCG-014|f__Clostridia_UCG-014|g__Clostridia_UCG-014	0	0	0	0	0.002535421	0.001491424	0	0	0	0.000671141	0.001267711	0	0.001267711	0	0	0
d__Bacteria|p__Firmicutes|c__Clostridia|o__Lachnospirales|f__Lachnospiraceae|g__Lachnospiraceae_NK4A136_group	0	0	0.008277405	0	0	0.004101417	0.001565996	0.002237136	0.001640567	0.005741984	0.009694258	0.001715138	0	0.002609993	0	0.003131991
d__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Muribaculaceae|g__Muribaculaceae|s__uncultured_bacterium	0	0	0	0	0	0	0	0.000745712	0	0	0	0	0	0	0	0
d__Bacteria|p__Firmicutes|c__Bacilli	0	0	0.013646532	0.019313945	0.003430276	0.002982849	0.003952274	0	0	0	0	0	0	0	0	0
d__Bacteria|p__Firmicutes|c__Clostridia|o__Oscillospirales|f__Ruminococcaceae	0.002609993	0.000447427	0	0	0	0	0	0	0	0.000447427	0	0	0.00059657	0	0	0
d__Bacteria|p__Firmicutes|c__Clostridia|o__Lachnospirales|f__Lachnospiraceae	0	0	0	0	0.000372856	0.000298285	0	0	0	0	0.000372856	0	0	0	0	0
d__Bacteria|p__Patescibacteria|c__Saccharimonadia|o__Saccharimonadales|f__Saccharimonadaceae|g__Candidatus_Saccharimonas|s__uncultured_bacterium	0	0	0	0	0.001267711	0.001491424	0.001043997	0	0	0	0	0	0	0.000149142	0	7.46E-05
d__Bacteria|p__Campilobacterota|c__Campylobacteria|o__Campylobacterales|f__Helicobacteraceae|g__Helicobacter	0	0	0	0	0	0	0	0	0	0	0.000149142	0	0	0	0	0
d__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridia_vadinBB60_group|f__Clostridia_vadinBB60_group|g__Clostridia_vadinBB60_group|s__uncultured_bacterium	0	0	0	0	0	0	0	0	0	0.000447427	0	0	0	0	0	0
d__Bacteria|p__Firmicutes|c__Clostridia|o__Lachnospirales|f__Lachnospiraceae	0	0	0	0	0	0	0	0	0	0	0	0	0.001491424	0	0	0
d__Bacteria|p__Firmicutes|c__Clostridia|o__Oscillospirales|f__Ruminococcaceae|g__uncultured|s__uncultured_bacterium	0	0	0	0	0	0	0	0	0	0	0	0	0.002013423	0	0	0
d__Bacteria|p__Firmicutes|c__Clostridia|o__Lachnospirales|f__Lachnospiraceae	0	0	0.001715138	0	0	0	0	0	0	0	0	0	0	0	0	0
d__Bacteria|p__Firmicutes|c__Clostridia|o__Oscillospirales|f__Oscillospiraceae|g__uncultured	0	0	0	0	0	0	0	0	0	0	0	0	0.000447427	0	0	0
d__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lactobacillus	0	0	0	0.00059657	0	0	0	0	0	0	0	0	0	0	0	0
d__Bacteria|p__Firmicutes|c__Clostridia|o__Lachnospirales|f__Lachnospiraceae	0	0	0.001565996	0	0	0	0	0	0	0	0	0	0.001118568	0	0	0.001342282
d__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridia_UCG-014|f__Clostridia_UCG-014|g__Clostridia_UCG-014	0	0	0	0	0	0	0	0.001193139	0	0	0	0	0	0	0	0
d__Bacteria|p__Firmicutes|c__Clostridia|o__Oscillospirales|f__Ruminococcaceae|g__Incertae_Sedis|s__uncultured_organism	0	0	0	0	0.008277405	0.017524236	0	0	0	0	0	0	0	0	0	0
d__Bacteria|p__Firmicutes|c__Clostridia|o__Lachnospirales|f__Lachnospiraceae	0.001043997	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__uncultured_bacterium	0.017747949	0	0	0	0.00186428	0	0.002759135	0	0.00059657	0.007531693	0.002535421	0.007009694	0.00432513	0.002162565	0.000820283	0.001491424
d__Bacteria|p__Cyanobacteria|c__Vampirivibrionia|o__Gastranaerophilales|f__Gastranaerophilales|g__Gastranaerophilales	0	0	0	0	0	0	0.000521999	0.00059657	0	0.001491424	0.00059657	0.000671141	0.001565996	0	0.00059657	0
d__Bacteria|p__Firmicutes|c__Clostridia|o__Oscillospirales|f__Oscillospiraceae|g__Colidextribacter	0	0	0	0	0	0	0	0	0	0	0.003281133	0	0	0	0	0
d__Bacteria|p__Firmicutes|c__Clostridia|o__Lachnospirales|f__Lachnospiraceae	0	0	0	0	0	0	0	0	0	0	0	0	0.001640567	0	0	0
d__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridia_UCG-014|f__Clostridia_UCG-014|g__Clostridia_UCG-014|s__unidentified	0	0	0	0	0	0	0	0	0	0.005741984	0	0	0	0	0	0
d__Bacteria|p__Firmicutes|c__Clostridia|o__Lachnospirales|f__Lachnospiraceae|g__Roseburia	0	0	0.001789709	0	0	0	0	0	0	0.008426547	0.01163311	0	0	0.001043997	0	0
d__Bacteria|p__Firmicutes|c__Clostridia|o__Oscillospirales|f__Butyricicoccaceae|g__Butyricicoccus|s__uncultured_bacterium	0	0	0	0	0	0.000745712	0	0	0	0	0	0	0	0	0	0
d__Bacteria|p__Firmicutes|c__Clostridia|o__Lachnospirales|f__Lachnospiraceae	0	0	0	0	0	0	0	0	0	0.009395973	0	0	0	0	0	0.003504847
d__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridia_vadinBB60_group|f__Clostridia_vadinBB60_group|g__Clostridia_vadinBB60_group|s__unidentified	0	0	0	0	0	0	0.000894855	0	0	0	0	0	0	0	0	0
d__Bacteria|p__Firmicutes|c__Clostridia|o__Oscillospirales|f__Oscillospiraceae|g__uncultured	0	0	0	0	0	0.000298285	0	0	0	0	0	0	0	0	0	0
d__Bacteria|p__Firmicutes|c__Clostridia|o__Lachnospirales|f__Lachnospiraceae	0	0	0	0	0	0	0.000149142	0	0	0	0	0	0	0	0	0
d__Bacteria|p__Firmicutes|c__Clostridia|o__Oscillospirales|f__UCG-010|g__UCG-010	0	0	0	0	0	0	0	0	0	0.000149142	0	0	0	0	0	0
d__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lactobacillus	0	0	0	0	0	0	0.002833706	0	0	0	0	0	0	0	0	0
d__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridia_vadinBB60_group|f__Clostridia_vadinBB60_group|g__Clostridia_vadinBB60_group|s__uncultured_bacterium	0	0	0	0	0	0	0	0	0	0	0	0.001342282	0	0	0	0
