normalized	AD1	AD5	AD6	AD8	AP2	AP3	AP4	AP5	AP6	AP7	CON1	CON3	CON4	CON5	CON6	CON8
012fd906263ae98fa1e0aeae235e9510	0.0	0.0	0.0	0.0	33.0	25.0	0.0	0.0	0.0	7.0	20.0	0.0	17.0	0.0	0.0	0.0
01526cee3fdf7ad501533f8e79cee802	0.0	0.0	51.5	0.0	0.0	41.5	16.5	17.0	25.0	41.0	66.5	15.0	0.0	20.5	0.0	33.5
017213032a7a4e78be651d3e02fd3513	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
017b82a4722188c130fadc4ddf15be0f	0.0	0.0	197.0	240.0	44.0	63.0	76.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
01ccc9f9ab02df58812600468f9de4c3	53.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.0	0.0	0.0	6.0	0.0	0.0	0.0
01d2339e33c53dfb3e90191f8706855e	0.0	0.0	0.0	0.0	7.0	5.0	0.0	0.0	0.0	0.0	7.0	0.0	0.0	0.0	0.0	0.0
0221ac31aa16e6e6b7d213958446adeb	0.0	0.0	0.0	0.0	23.0	23.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	0.0	3.0
02626b339b82d1085401667d702c9ffc	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0
029a724311054af606fb9072f47cbbb9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.0	0.0	0.0	0.0	0.0	0.0	0.0
02b6a4e76404aa80af20252ab6d8edf5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	22.0	0.0	0.0	0.0
02ec4fe076ee71a55f438dc91ac645ba	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	24.0	0.0	0.0	0.0
03827d6322ebbc35fd780b2d59d01775	0.0	0.0	11.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
03c9767edaac5ecee0a0bb25c0fbda6d	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.0	0.0	0.0	0.0
05d2e6f2c8c334be6e9cc652426165da	0.0	0.0	0.0	0.0	0.0	1.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0615eff74d0f2f3c25ad85862daab20b	0.0	0.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
062ce343b799626f07c788c476cb9186	0.0	0.0	11.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.0	0.0	0.0	14.0
064791d92071ba6a21ef57488796dacb	0.0	0.0	0.0	0.0	0.0	0.0	0.0	34.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
064ad1ad889da847966bdb0600059b99	0.0	0.0	0.0	0.0	73.5	169.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
076457e2c7128179ea6755249b641f23	20.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0782fdaa348dd6fa9b80eae2b6333388	314.0	0.0	0.0	0.0	40.0	0.0	56.0	0.0	15.0	103.0	27.0	143.0	64.0	24.0	11.0	31.0
07d6098878b38771be900a15269acf09	0.0	0.0	0.0	0.0	0.0	0.0	18.0	12.0	0.0	22.0	10.0	16.0	21.0	0.0	9.0	0.0
07efe1dcf1b2ba7f941f4c2632ae6957	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	37.0	0.0	0.0	0.0	0.0	0.0
07fe146a1e0df90b9381a567078cd960	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	22.0	0.0	0.0	0.0
08ba5933cb112eadc3c71de7cef9d029	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	63.0	0.0	0.0	0.0	0.0	0.0	0.0
08ed17794e8af08e5f0fb28b4e415a5a	0.0	0.0	20.0	0.0	0.0	0.0	0.0	0.0	0.0	99.0	174.0	0.0	0.0	19.0	0.0	0.0
09dd561731c0af24b96cc0ba6e57ec9b	0.0	0.0	0.0	0.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0a25a8dcca0dcc62ce66d46bfddeda5a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	123.0	0.0	0.0	0.0	0.0	0.0	78.0
0a3f05ad4a67281b9b6560ac3076aa76	0.0	0.0	0.0	0.0	0.0	0.0	18.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0a9640c9475123ce8715a72ce95037ad	0.0	0.0	0.0	0.0	0.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0b7aa89f029b63c62ebdbbe793c0c65f	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0b89881c3eddfdba2a3e1f418496b200	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0
0c8683fd3867df9e82c58f1c26e6a136	0.0	0.0	0.0	0.0	0.0	0.0	12.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0d6662ad72a9d229df0cd39a5352cb6b	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	30.0	0.0	0.0	0.0	0.0
0d7dd2a18a632a2029783912f515a73b	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0da03528d09c7777b72cdb2195beab99	7.67	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0da613e8d89cfcdeaa139caf8f2506f5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.0	0.0	0.0
0debac7bda0e8a1808ee18f1fa0fff95	0.0	0.0	0.0	0.0	0.0	29.0	39.0	0.0	0.0	22.0	0.0	0.0	0.0	0.0	0.0	0.0
0eba0dfaf3894d0cb8ae783668b2816b	0.0	0.0	0.0	0.0	0.0	0.0	8.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
