pathway	AD1	AD5	AD6	AD8	AP2	AP3	AP4	AP5	AP6	AP7	CON1	CON3	CON4	CON5	CON6	CON8
1CMET2-PWY	12976.223634335027	13429.68720660655	5821.578594242996	5253.971414838959	6402.91559539796	8769.991980354585	13086.967157712606	9896.191107346187	5686.163020695841	8181.193745616453	8776.602370154147	7119.937347072994	9080.689791481072	6641.613698204125	4247.551491624141	10572.23988493687
ALL-CHORISMATE-PWY	20.747230351785475	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ANAEROFRUCAT-PWY	16503.177439719493	19764.848731390513	9318.421628177295	10305.559785095595	10835.72141925863	11358.87567555454	17735.934997056265	12823.540469718377	14396.438349902222	9921.185022671092	11861.52280968752	10263.35019636675	12747.191945743205	9878.653917615364	6944.392298300839	17612.053242406455
ANAGLYCOLYSIS-PWY	19539.061758631375	24092.903019757832	13817.393874081012	13949.86014048019	16908.254583019465	17522.065363110214	22082.499399585064	18839.370756823268	19358.82605444781	13827.5349022879	13590.859023364997	22248.515430029754	15288.575954331209	14408.757420445812	14094.216822970788	26395.195802578575
ARG+POLYAMINE-SYN	2617.4637015815742	1002.7619791073641	671.2747861789298	655.2371606520691	1510.0059357022712	1838.1541088794384	2530.7528194540796	2089.914566597568	779.5784929519183	2291.5764385416983	1523.0074904902465	1294.5635404245645	1279.8348679411288	1313.5161504785074	552.1449742396313	1917.483176608513
ARGDEG-PWY	7.757346898799848	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ARGORNPROST-PWY	2644.2009504048897	998.9162754920048	419.6164789154423	586.8828843012225	547.7276477267139	712.4638539538271	1337.3040031824069	938.1379651597267	164.3174350159587	631.3851327066582	338.98168492392494	178.94416315349417	929.5447075947579	162.87933758223116	325.81228034788046	759.246567124304
ARGSYN-PWY	11941.346291127376	12303.551821992858	4791.024326515033	4373.884782024875	4755.699354321659	5494.406227761514	10795.42122121927	7045.572637273887	5446.519495591785	6181.089556921756	8499.9855400732	3808.065921591121	7358.1592494517	6642.179446433797	3168.427272716268	8927.237964956568
ARGSYNBSUB-PWY	11329.963108700857	11042.241766921032	4159.294625422956	3306.604838492077	3949.1140450738653	4501.016090760048	10099.88511360296	6047.75927838945	3998.301794114538	5389.701951233854	8596.648223191256	3205.797967342666	7412.276492283336	6328.8592388450925	2724.7353724986865	8629.51580430456
ARO-PWY	10449.647497194925	8661.126188121225	3242.7995958501665	2686.3798272360314	3504.566181399933	4823.757702647936	9298.257093624816	5919.39802708293	2474.333477531558	5077.394031272724	7524.255261754599	3172.6268296317944	6647.0222691221725	4442.07033062999	2024.7384320091323	6378.981037301701
